idx,S_rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,t_i_mm,t_o_mm,c12_margin,L_eff_m,S_index,mass_brg_kg,mass_shaft_kg,mass_total_kg,Myz_max_UW,Myz_max_DW,sigma_max_MPa,governing,feasible,t_s,warn
1.00_5.00_3900_19_140_250,3110,1.0,5.0,3900.0,19.0,140.0,250.0,1.786,80,3588.0,4205.0,325.565,315.0625,265.7025,49.31,45.74,1.634,5.31357,106.858,7634.1,93698.7,108966.9,2648.2,2281.6,2648.2,Myz_max/UW,0,0.34,
0.30_4.00_3300_31_200_400,3111,0.3,4.0,3300.0,31.0,200.0,400.0,2.0,47,2765.0,3824.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,1.83,5.66508,106.837,18008.6,45527.0,81544.1,2582.3,2037.4,2582.3,Myz_max/UW,0,0.25,
0.50_4.50_3300_27_200_400,3112,0.5,4.5,3300.0,27.0,200.0,400.0,2.0,47,2782.0,3806.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,1.83,5.66261,106.811,17386.9,51209.4,85983.3,2565.8,2013.4,2565.8,Myz_max/UW,0,0.23,
1.00_5.00_3300_27_200_400,3113,1.0,5.0,3300.0,27.0,200.0,400.0,2.0,47,2782.0,3806.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,1.83,5.66261,106.811,17386.9,56330.4,91104.3,2582.2,2023.9,2582.2,Myz_max/UW,0,0.27,
0.70_5.00_3300_31_140_250,3114,0.7,5.0,3300.0,31.0,140.0,250.0,1.786,68,2953.0,3640.0,325.565,315.0625,265.7025,49.31,45.74,1.634,6.2553,106.808,7246.4,63468.1,77960.8,2920.6,2346.2,2920.6,Myz_max/UW,0,0.3,
0.70_4.00_3600_27_200_400,3115,0.7,4.0,3600.0,27.0,200.0,400.0,2.0,52,3082.0,4106.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,1.83,5.115,106.793,19033.5,56564.5,94631.5,2428.9,2031.5,2428.9,Myz_max/UW,0,0.27,
0.50_3.50_3900_15_170_400,3116,0.5,3.5,3900.0,15.0,170.0,400.0,2.353,66,3474.0,4314.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,4.02223,106.788,16927.0,63883.0,97737.0,2434.3,2137.7,2434.3,Myz_max/UW,0,0.28,
1.00_4.00_3900_15_170_400,3117,1.0,4.0,3900.0,15.0,170.0,400.0,2.353,66,3474.0,4314.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,4.02223,106.788,16927.0,71868.4,105722.4,2449.6,2149.2,2449.6,Myz_max/UW,0,0.27,
0.50_4.00_3300_31_230_475,3118,0.5,4.0,3300.0,31.0,230.0,475.0,2.065,41,2671.0,3916.0,618.5735,598.61875,504.83475,93.7,86.91,1.889,5.47039,106.778,25234.5,42484.1,92953.1,2488.1,1937.4,2488.1,Myz_max/UW,0,0.25,
1.00_4.50_3300_31_230_475,3119,1.0,4.5,3300.0,31.0,230.0,475.0,2.065,41,2671.0,3916.0,618.5735,598.61875,504.83475,93.7,86.91,1.889,5.47039,106.778,25234.5,47204.5,97673.6,2504.4,1947.6,2504.4,Myz_max/UW,0,0.24,
