rank_mass,S_rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,t_i_mm,t_o_mm,c12_margin,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,Myz_max_UW,Myz_max_DW,sigma_max_MPa
351,939,0.5,4.5,4500.0,19.0,200.0,400.0,2.0,65,4022.9999999999995,4966.0,520.904,78.9,73.19,1.83,5.52773,21766.6,107086.8,150620.0,2014.5,1737.3,2014.5
352,1155,0.7,4.5,4500.0,19.0,200.0,400.0,2.0,65,4022.9999999999995,4966.0,520.904,78.9,73.19,1.83,5.32773,21766.6,107086.8,150620.0,2042.6,1770.4,2042.6
353,1533,1.0,4.5,4500.0,19.0,200.0,400.0,2.0,65,4022.9999999999995,4966.0,520.904,78.9,73.19,1.83,5.02773,21766.6,107086.8,150620.0,2088.0,1824.1,2088.0
354,220,0.5,5.0,3900.0,27.0,230.0,550.0,2.391,49,3228.0,4556.0,716.243,108.49,100.63,2.188,6.47533,37475.5,75839.5,150790.4,1955.3,1546.8,1955.3
355,300,0.7,5.0,3900.0,27.0,230.0,550.0,2.391,49,3228.0,4556.0,716.243,108.49,100.63,2.188,6.27533,37475.5,75839.5,150790.4,1972.7,1571.6,1972.7
356,441,1.0,5.0,3900.0,27.0,230.0,550.0,2.391,49,3228.0,4556.0,716.243,108.49,100.63,2.188,5.97533,37475.5,75839.5,150790.4,2000.7,1611.6,2000.7
357,1661,0.3,4.5,4500.0,19.0,230.0,400.0,1.739,56,3995.0,4994.0,520.904,78.9,73.19,1.591,5.72866,22655.8,105601.3,150913.0,1997.9,1720.6,1997.9
358,1928,0.5,4.5,4500.0,19.0,230.0,400.0,1.739,56,3995.0,4994.0,520.904,78.9,73.19,1.591,5.52866,22655.8,105601.3,150913.0,2024.6,1752.1,2024.6
359,2202,0.7,4.5,4500.0,19.0,230.0,400.0,1.739,56,3995.0,4994.0,520.904,78.9,73.19,1.591,5.32866,22655.8,105601.3,150913.0,2052.8,1785.3,2052.8
360,2661,1.0,4.5,4500.0,19.0,230.0,400.0,1.739,56,3995.0,4994.0,520.904,78.9,73.19,1.591,5.02866,22655.8,105601.3,150913.0,2098.5,1839.3,2098.5
361,1882,0.5,4.0,4500.0,15.0,230.0,475.0,2.065,56,3968.0,5019.0,618.5735,93.7,86.91,1.889,4.68724,28596.2,93760.9,150953.3,1995.2,1755.6,1995.2
362,2199,0.7,4.0,4500.0,15.0,230.0,475.0,2.065,56,3968.0,5019.0,618.5735,93.7,86.91,1.889,4.48724,28596.2,93760.9,150953.3,2029.2,1795.6,2029.2
363,2745,1.0,4.0,4500.0,15.0,230.0,475.0,2.065,56,3968.0,5019.0,618.5735,93.7,86.91,1.889,4.18724,28596.2,93760.9,150953.3,2085.6,1861.3,2085.6
364,1163,0.5,5.0,4200.0,15.0,230.0,475.0,2.065,52,3668.0,4719.0,618.5735,93.7,86.91,1.889,5.60706,26649.5,97923.6,151222.5,1969.2,1668.7,1969.2
365,1396,0.7,5.0,4200.0,15.0,230.0,475.0,2.065,52,3668.0,4719.0,618.5735,93.7,86.91,1.889,5.40706,26649.5,97923.6,151222.5,1995.4,1700.1,1995.4
366,1794,1.0,5.0,4200.0,15.0,230.0,475.0,2.065,52,3668.0,4719.0,618.5735,93.7,86.91,1.889,5.10706,26649.5,97923.6,151222.5,2037.8,1751.5,2037.8
367,112,0.3,4.5,4500.0,23.0,170.0,400.0,2.353,76,4029.0,4959.0,520.904,78.9,73.19,2.153,6.08809,21923.5,107406.4,151253.4,1974.3,1668.3,1974.3
368,164,0.5,4.5,4500.0,23.0,170.0,400.0,2.353,76,4029.0,4959.0,520.904,78.9,73.19,2.153,5.88809,21923.5,107406.4,151253.4,1998.1,1697.5,1998.1
369,237,0.7,4.5,4500.0,23.0,170.0,400.0,2.353,76,4029.0,4959.0,520.904,78.9,73.19,2.153,5.68809,21923.5,107406.4,151253.4,2023.3,1728.0,2023.3
370,386,1.0,4.5,4500.0,23.0,170.0,400.0,2.353,76,4029.0,4959.0,520.904,78.9,73.19,2.153,5.38809,21923.5,107406.4,151253.4,2063.8,1777.2,2063.8
371,1308,0.5,3.0,4500.0,23.0,230.0,550.0,2.391,56,3856.0,5128.0,716.243,108.49,100.63,2.188,4.39652,41199.3,68866.5,151265.0,1957.8,1728.8,1957.8
372,1619,0.7,3.0,4500.0,23.0,230.0,550.0,2.391,56,3856.0,5128.0,716.243,108.49,100.63,2.188,4.19652,41199.3,68866.5,151265.0,1992.0,1770.8,1992.0
373,2179,1.0,3.0,4500.0,23.0,230.0,550.0,2.391,56,3856.0,5128.0,716.243,108.49,100.63,2.188,3.89652,41199.3,68866.5,151265.0,2048.5,1839.7,2048.5
374,506,0.3,4.5,4500.0,23.0,200.0,400.0,2.0,65,4002.0,4987.0,520.904,78.9,73.19,1.83,6.08908,22844.4,105971.7,151660.5,1969.5,1672.8,1969.5
375,638,0.5,4.5,4500.0,23.0,200.0,400.0,2.0,65,4002.0,4987.0,520.904,78.9,73.19,1.83,5.88908,22844.4,105971.7,151660.5,1993.5,1701.8,1993.5
376,796,0.7,4.5,4500.0,23.0,200.0,400.0,2.0,65,4002.0,4987.0,520.904,78.9,73.19,1.83,5.68908,22844.4,105971.7,151660.5,2018.7,1732.3,2018.7
377,1090,1.0,4.5,4500.0,23.0,200.0,400.0,2.0,65,4002.0,4987.0,520.904,78.9,73.19,1.83,5.38908,22844.4,105971.7,151660.5,2059.4,1781.1,2059.4
378,1489,0.3,5.0,4500.0,19.0,200.0,325.0,1.625,65,4077.0,4914.0,423.2345,64.11,59.46,1.487,6.22458,15368.0,120979.0,151715.0,2090.6,1785.9,2090.6
379,623,0.3,5.0,4500.0,19.0,170.0,325.0,1.912,76,4105.0,4885.0,423.2345,64.11,59.46,1.749,6.22378,14557.7,122646.4,151761.8,2092.7,1780.9,2092.7
