design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_Sys,D30_UW,D30_DW,life_UW_yr,life_DW_yr,life_Sys_yr,t_s
c50,DLC1.2-k-s2,0.64,center,30,538.2,2.3174,0.989,1.1215521379742211e-05,2.7883512206099323e-06,2674864.5010999525,10759046.3418872,2259754.1893070014,2.751
c50,DLC1.2-k-s3,0.62,center,30,538.2,2.1752,0.1938,1.3774805858970444e-05,4.112300663226324e-06,2177889.1337668737,7295186.431349931,1777621.3257719888,2.659
c50,DLC1.2-k-s4,0.61,min_pos,30,538.2,3.5461,1.4721,1.9679037461326998e-05,5.942486132116203e-06,1524464.8046915724,5048392.092640286,1241371.0499526619,2.695
c50,DLC1.2-k-s5,0.51,center,30,538.2,0.1612,0.9111,1.3717750443565778e-05,5.973945488887973e-06,2186947.4972167397,5021806.786788138,1629362.2273494576,2.676
c50,DLC1.2-k-s6,0.57,center,30,538.2,2.5164,0.0787,1.4080279032606968e-05,3.966167725571805e-06,2130639.5938976994,7563976.633306622,1759284.9089516255,2.616
c50,DLC2.4.1-a-s1,0.3,center,3,50.0,2.2739,0.376,1.1424586983265564e-06,1.219674185139087e-07,26259154.96458928,245967327.71366242,24508418.483874347,0.413
c50,DLC2.4.1-a-s2,0.39,center,3,50.0,2.3804,0.8554,1.3172311079626802e-06,1.4254200042892518e-07,22775046.701106273,210464283.5776583,21234974.212177422,0.414
c50,DLC2.4.1-a-s3,0.32,min_pos,3,50.0,3.377,0.6964,1.4286255126040761e-06,1.5711823252711364e-07,20999204.994818043,190939011.45319304,19555031.769355383,0.538
c50,DLC2.4.1-a-s4,0.42,min_pos,3,50.0,4.6346,1.205,1.3995076234305832e-06,1.4867054091270698e-07,21436110.456091437,201788463.37563756,20014325.712477386,0.406
c50,DLC2.4.1-a-s5,0.42,center,3,50.0,2.2372,0.5412,1.3591069646515103e-06,1.488821897537162e-07,22073317.833149597,201501603.71516958,20561530.471907914,0.427
c50,DLC2.4.1-a-s6,0.28,center,3,50.0,2.3236,0.7942,1.164668629679642e-06,1.1977652872592098e-07,25758399.630160823,250466433.77558213,24106966.70934534,0.444
c50,DLC2.4.1-b-s1,0.93,min_pos,3,50.0,6.068,0.9509,1.186812167182492e-06,1.2406908824371883e-07,25277799.49477633,241800761.3715078,23629127.0905305,0.335
c50,DLC2.4.1-b-s2,0.97,min_pos,3,50.0,4.3585,0.4386,8.363113866597052e-07,1.0360438449350332e-07,35871806.21780412,289563034.8721506,33080393.32128456,0.349
c50,DLC2.4.1-b-s3,0.78,min_pos,3,50.0,6.281,0.232,1.2401856880356749e-06,1.1450735343700583e-07,24189925.984000735,261991907.93894264,22805452.235335287,0.394
c50,DLC2.4.1-b-s4,0.91,min_pos,3,50.0,5.3285,0.5306,1.110759872281961e-06,1.0085793949360957e-07,27008537.802475322,297448075.4874119,25489815.664766066,0.381
c50,DLC2.4.1-b-s5,0.8,min_pos,3,50.0,6.6931,1.1688,1.6410976356024027e-06,2.3095262578965965e-07,18280448.005756713,129896769.51030871,16659108.7778339,0.377
c50,DLC2.4.1-b-s6,0.71,min_pos,3,50.0,4.7762,1.1132,1.1637144664839639e-06,1.217313584258971e-07,25779519.68805692,246444304.80304083,24097010.977687668,0.365
c50,DLC2.4.2-a-s1,0.27,center,15,25.0,2.4369,1.3929,2.038037244346718e-06,1.1749731687686691e-07,14720045.025289193,255324979.30517814,14211369.659308478,1.356
c50,DLC2.4.2-a-s2,0.19,center,15,25.0,1.8709,1.6355,1.4669908583866055e-06,9.130343616437867e-08,20450025.184883535,328574709.34598047,19682318.57968681,1.531
c50,DLC2.4.2-a-s3,0.21,center,15,25.0,1.8914,1.3755,1.4058410512868542e-06,8.393444798376582e-08,21339539.041443642,357421782.362856,20573651.759773493,1.392
c50,DLC2.4.2-a-s4,0.18,center,15,25.0,1.5293,1.5631,1.282161241065305e-06,7.391983128154373e-08,23397993.20019532,405845082.1639035,22589432.03902697,1.516
c50,DLC2.4.2-a-s5,0.25,center,15,25.0,2.7427,1.8133,1.4778877426854706e-06,8.349115702646867e-08,20299241.36557692,359319490.45201623,19613039.07069669,1.378
c50,DLC2.4.2-a-s6,0.2,center,15,25.0,1.9768,1.705,1.3679141022439721e-06,6.949581043292786e-08,21931201.638163533,431680698.6365566,21270614.460357267,1.352
c50,DLC2.4.2-b-s1,0.31,center,15,25.0,2.7937,1.6902,7.717839396261294e-07,8.62408220034506e-08,38870982.485762425,347863103.6100243,36153019.520281166,1.455
c50,DLC2.4.2-b-s2,0.47,center,15,25.0,2.9613,0.7984,1.0786589281842214e-06,1.3237032964714407e-07,27812313.24947266,226636891.21248072,25669077.360776227,1.41
c50,DLC2.4.2-b-s3,0.4,center,15,25.0,2.6088,0.926,1.1831214409950827e-06,9.531838341066483e-08,25356653.13847075,314734670.5488021,24100896.82008955,1.484
c50,DLC2.4.2-b-s4,0.39,center,15,25.0,2.7167,1.3856,1.0142201527833354e-06,8.954657512890409e-08,29579376.743471988,335021188.2119936,27964736.54805257,1.364
c50,DLC2.4.2-b-s5,0.39,center,15,25.0,2.1681,0.9886,1.0414581896772676e-06,1.2076274425322704e-07,28805765.1256231,248420986.0045337,26712543.865795605,1.469
c50,DLC2.4.2-b-s6,0.26,center,15,25.0,2.4219,1.2384,8.218613152317945e-07,8.539303361263645e-08,36502508.93186148,351316714.3831345,34136949.429169215,1.426
c50,DLC4.1-a-y1,0.35,center,10,10000.0,1.7557,1.5565,0.00036805107991649453,2.7053698686160336e-05,81510.42514752726,1108905.674895643,77850.59692801173,1.079
c50,DLC4.1-a-y2,0.35,center,10,10000.0,1.7229,1.5259,0.0003599842704245777,2.62744511203735e-05,83336.9745978539,1141793.594947362,79623.35815373411,1.125
c50,DLC4.1-a-y3,0.34,center,10,10000.0,1.666,1.4799,0.00036311363308539284,2.6522150151480094e-05,82618.76521982568,1131130.0112794898,78934.280500687,1.061
c50,DLC4.1-b-y1,0.13,center,10,500.0,1.3834,1.5766,1.7104187126715657e-05,1.1282431954412548e-06,1753956.4890015672,26590011.906313363,1683851.5042050467,1.115
c50,DLC4.1-b-y2,0.08,center,10,500.0,1.2616,1.5124,1.5848248270804917e-05,1.0114058468297846e-06,1892953.6872074967,29661683.38262422,1819942.037115922,1.053
c50,DLC4.1-b-y3,0.16,center,10,500.0,1.4205,1.5653,1.6615151650774545e-05,1.0610626042423547e-06,1805580.871637816,28273543.7853088,1735888.5840483536,1.141
c50,DLC4.1-c-y1,0.12,center,10,500.0,1.9015,1.3766,1.3217174285344322e-05,1.0832238902710943e-06,2269774.109982425,27695105.57276577,2155298.1433810685,0.975
c50,DLC4.1-c-y2,0.27,center,10,500.0,2.6809,1.5218,1.1948504933467374e-05,9.7929147192129e-07,2510774.3744550813,30634393.19158212,2384137.7342796833,0.979
c50,DLC4.1-c-y3,0.49,center,10,500.0,2.9712,0.3075,1.804693759608728e-05,1.8106913862725392e-06,1662331.8964932999,16568256.869966963,1558483.510244052,0.988
c50,DLC6.4-a-s1,3.0,center,30,24340.0,0.1454,0.1495,0.0004541995905746645,4.050969902475861e-05,66050.25768967177,740563.3890704713,62405.92047233102,3.423
c50,DLC6.4-a-s2,3.0,center,30,24340.0,0.5756,0.5788,0.0007049139725384177,6.287038206468379e-05,42558.38466638566,477172.22346660297,40210.22976939042,3.407
c50,DLC6.4-a-s3,3.0,center,30,24340.0,0.4475,0.4674,0.000766320148728088,6.845474999325518e-05,39148.12895079553,438245.70249626046,36984.53180739326,3.43
c50,DLC6.4-a-s4,3.0,center,30,24340.0,0.563,0.5791,0.0004860875359950481,4.342689809097881e-05,61717.278840709914,690816.0913807469,58305.92985079798,3.372
c50,DLC6.4-a-s5,3.0,center,30,24340.0,0.2293,0.2351,0.0004964478513585402,4.4270620851311816e-05,60429.307766977654,677650.3112698282,57095.67930067512,3.424
c50,DLC6.4-a-s6,3.0,center,30,24340.0,0.5357,0.5464,0.00048646765098853687,4.3405744031921186e-05,61669.0543328788,691152.7648953001,58264.94891940473,3.331
c50,DLC6.4-b-s1,0.24,center,30,292.4,2.5035,1.2614,2.5867040891958495e-05,2.233907540985861e-06,1159777.0353904823,13429383.020373572,1097935.4321556648,3.161
c50,DLC6.4-b-s2,0.25,center,30,292.4,2.8231,1.4178,2.779920608568708e-05,2.4156221023247297e-06,1079167.5095874784,12419161.08116779,1021246.3625833488,3.235
c50,DLC6.4-b-s3,0.17,center,30,292.4,2.5525,1.6129,2.4756326577391213e-05,2.0927984513612287e-06,1211811.4497405922,14334872.992899511,1148644.8162156767,3.27
c50,DLC6.4-b-s4,0.37,center,30,292.4,2.748,0.5299,3.138078248964246e-05,2.9428382773843457e-06,955999.1058190407,10194240.108452242,900377.533504072,3.074
c50,DLC6.4-b-s5,0.49,min_pos,30,292.4,4.5857,1.1037,3.921454274969698e-05,4.168832683809868e-06,765022.3079607837,7196259.067078508,714242.1317640269,2.924
c50,DLC6.4-b-s6,0.19,center,30,292.4,2.4201,1.4429,2.443783656341448e-05,2.0481488578818075e-06,1227604.5762951272,14647372.862842575,1164198.257528251,3.206
c45,DLC1.2-a-s1,0.18,center,30,37800.0,1.6558,1.5584,0.002974649095172445,4.7864146549797276e-05,10085.223177647062,626773.9458968178,9999.91137924931,2.563
c45,DLC1.2-a-s2,0.16,center,30,37800.0,1.4864,1.4265,0.002977152889308532,4.837102066716407e-05,10076.741475970266,620206.0569783478,9990.575333936666,2.371
c45,DLC1.2-a-s3,0.16,center,30,37800.0,1.5021,1.4284,0.002999536411614668,5.0103548861166136e-05,10001.545533448227,598759.9817156298,9913.340609594921,2.451
c45,DLC1.2-a-s4,0.16,center,30,37800.0,1.4503,1.3882,0.003042927093900587,5.120166525931588e-05,9858.928286561211,585918.4432393368,9771.269136562447,2.335
c45,DLC1.2-a-s5,0.18,center,30,37800.0,1.6445,1.5681,0.003103236758460604,5.611504917257603e-05,9667.325549108875,534615.9442494313,9574.191419549617,2.371
c45,DLC1.2-a-s6,0.17,center,30,37800.0,1.4985,1.4214,0.003005979815637416,4.9218829670175236e-05,9980.10693349866,609522.8228918834,9894.02768160609,2.35
c45,DLC1.2-b-s1,0.19,center,30,45700.0,1.6375,1.4744,0.0028466161219313957,3.727912414474533e-05,10538.828811116742,804739.9365799918,10467.984311597578,2.298
c45,DLC1.2-b-s2,0.19,center,30,45700.0,1.5715,1.4555,0.0027709611303623843,3.559963414155729e-05,10826.568323633115,842705.2896304756,10755.3307960035,2.229
c45,DLC1.2-b-s3,0.19,center,30,45700.0,1.7008,1.5358,0.002752509411172861,3.610123860266862e-05,10899.14529564381,830996.4189921834,10825.75485305796,2.108
