rank,stage,tag,K1L,K2L,zmL_um,K1R,K2R,zmR_um,sigma_MPa,edge_L_MPa,margin_L_mm,y_star_mm,y_star_pct,edge_R_MPa,margin_R_mm,contact_mm,score,feasible
103,S1,sym K1=2.0 K2=0.85 zm=250,2.0,0.85,250.0,2.0,0.85,250.0,2137.2,1746.4,0.0,-203.1,95.0,682.7,17.36,410.4,,0
103,S1,sym K1=2.0 K2=0.85 zm=400,2.0,0.85,400.0,2.0,0.85,400.0,2145.9,1761.2,1.07,-202.07,94.5,693.1,17.63,409.1,,0
103,S1,sym K1=2.0 K2=0.85 zm=600,2.0,0.85,600.0,2.0,0.85,600.0,2118.3,2104.9,3.57,-188.93,88.3,695.8,17.67,406.6,,0
103,S1,sym K1=2.0 K2=1.0 zm=40,2.0,1.0,40.0,2.0,1.0,40.0,2499.7,2499.7,0.0,-213.9,100.0,824.0,0.0,427.8,,0
103,S1,sym K1=2.0 K2=1.0 zm=80,2.0,1.0,80.0,2.0,1.0,80.0,2348.9,2348.9,0.0,-213.9,100.0,693.7,10.97,416.8,,0
103,S1,sym K1=2.0 K2=1.0 zm=150,2.0,1.0,150.0,2.0,1.0,150.0,2106.5,2068.5,0.0,-203.03,94.9,608.2,14.92,412.9,,0
103,S1,sym K1=2.0 K2=1.0 zm=250,2.0,1.0,250.0,2.0,1.0,250.0,2126.7,1753.6,0.0,-203.1,95.0,653.6,17.44,410.4,,0
103,S1,sym K1=2.0 K2=1.0 zm=400,2.0,1.0,400.0,2.0,1.0,400.0,2143.1,1712.8,0.95,-202.18,94.5,663.9,17.69,409.2,,0
103,S1,sym K1=2.0 K2=1.0 zm=600,2.0,1.0,600.0,2.0,1.0,600.0,2112.0,2093.4,3.54,-188.96,88.3,666.0,17.7,406.6,,0
103,S1,sym K1=3.0 K2=0.4 zm=40,3.0,0.4,40.0,3.0,0.4,40.0,2456.2,2456.2,0.0,-213.9,100.0,720.0,0.0,427.8,,0
103,S1,sym K1=3.0 K2=0.4 zm=80,3.0,0.4,80.0,3.0,0.4,80.0,2282.3,2282.3,0.0,-213.9,100.0,731.1,10.97,416.8,,0
103,S1,sym K1=3.0 K2=0.4 zm=150,3.0,0.4,150.0,3.0,0.4,150.0,2149.8,1980.6,0.0,-181.38,84.8,739.8,15.89,411.9,,0
