rank,stage,tag,K1L,K2L,zmL_um,K1R,K2R,zmR_um,sigma_MPa,edge_L_MPa,margin_L_mm,y_star_mm,y_star_pct,edge_R_MPa,margin_R_mm,contact_mm,score,feasible
210,S1,sym K1=8.0 K2=1.0 zm=250,8.0,1.0,250.0,8.0,1.0,250.0,2125.1,1223.5,0.0,-72.16,41.5,115.4,25.73,321.9,,0
210,S1,sym K1=8.0 K2=1.0 zm=400,8.0,1.0,400.0,8.0,1.0,400.0,2175.5,1249.1,10.94,-64.21,36.9,302.3,32.49,304.2,,0
210,S1,sym K1=8.0 K2=1.0 zm=600,8.0,1.0,600.0,8.0,1.0,600.0,2194.6,1265.5,15.16,-62.21,35.8,347.5,35.11,297.3,,0
1,S2,asym K1=4.0 K2=1.0 zmL=400 r=0.15,4.0,1.0,400.0,4.0,1.0,60.0,2059.9,948.2,0.0,-184.67,69.2,520.4,0.0,533.5,-0.01658,1
1,S2,asym K1=4.0 K2=1.0 zmL=400 r=0.3,4.0,1.0,400.0,4.0,1.0,120.0,9000000000.0,9000000000.0,0.0,,,9000000000.0,0.0,0.0,,0
1,S2,asym K1=4.0 K2=1.0 zmL=400 r=0.5,4.0,1.0,400.0,4.0,1.0,200.0,2089.1,993.8,0.0,-187.56,70.3,636.8,45.17,488.3,-0.07917,1
1,S2,asym K1=4.0 K2=1.0 zmL=400 r=0.7,4.0,1.0,400.0,4.0,1.0,280.0,2092.8,987.0,0.0,-188.61,70.7,141.5,38.64,494.9,-0.07827,1
1,S2,asym K1=4.0 K2=1.0 zmL=400 r=1.0,4.0,1.0,400.0,4.0,1.0,400.0,2094.8,983.7,0.0,-189.14,70.9,159.4,42.0,491.5,-0.07795,1
1,S2,asym K1=4.0 K2=1.0 zmL=520 r=0.15,4.0,1.0,520.0,4.0,1.0,78.0,2065.7,1407.7,3.06,-182.09,68.3,574.1,13.6,516.8,-0.45525,1
1,S2,asym K1=4.0 K2=1.0 zmL=520 r=0.3,4.0,1.0,520.0,4.0,1.0,156.0,2081.4,1432.1,2.83,-183.92,68.9,599.4,37.33,493.3,-0.49122,1
1,S2,asym K1=4.0 K2=1.0 zmL=520 r=0.5,4.0,1.0,520.0,4.0,1.0,260.0,2087.6,1439.3,2.72,-186.1,69.8,114.3,37.24,493.5,-0.51133,1
1,S2,asym K1=4.0 K2=1.0 zmL=520 r=0.7,4.0,1.0,520.0,4.0,1.0,364.0,2089.6,1441.5,2.69,-186.72,70.0,153.5,40.98,489.8,-0.5172,1
1,S2,asym K1=4.0 K2=1.0 zmL=520 r=1.0,4.0,1.0,520.0,4.0,1.0,520.0,2090.3,1442.4,2.68,-186.97,70.1,173.1,42.54,488.3,-0.51957,1
1,S2,asym K1=4.0 K2=1.0 zmL=640 r=0.15,4.0,1.0,640.0,4.0,1.0,96.0,2071.9,1499.4,4.84,-180.58,67.7,387.0,13.56,515.1,-0.53272,1
1,S2,asym K1=4.0 K2=1.0 zmL=640 r=0.3,4.0,1.0,640.0,4.0,1.0,192.0,2086.2,1519.7,4.69,-183.35,68.7,627.1,43.43,485.4,-0.56959,1
1,S2,asym K1=4.0 K2=1.0 zmL=640 r=0.5,4.0,1.0,640.0,4.0,1.0,320.0,2090.7,1525.6,4.64,-184.86,69.3,135.6,39.61,489.3,-0.58435,1
1,S2,asym K1=4.0 K2=1.0 zmL=640 r=0.7,4.0,1.0,640.0,4.0,1.0,448.0,2091.7,1526.9,4.63,-185.25,69.4,163.3,41.98,486.9,-0.58792,1
1,S2,asym K1=4.0 K2=1.0 zmL=640 r=1.0,4.0,1.0,640.0,4.0,1.0,640.0,2092.0,1527.3,4.62,-185.35,69.5,174.5,42.64,486.2,-0.58893,1
1,S2,asym K1=4.0 K2=1.0 zmL=800 r=0.15,4.0,1.0,800.0,4.0,1.0,120.0,2077.1,1571.5,6.0,-179.6,67.3,549.8,27.05,500.4,-0.59571,1
1,S2,asym K1=4.0 K2=1.0 zmL=800 r=0.3,4.0,1.0,800.0,4.0,1.0,240.0,2089.8,1586.3,5.91,-183.16,68.7,24.3,35.62,492.0,-0.63129,1
1,S2,asym K1=4.0 K2=1.0 zmL=800 r=0.5,4.0,1.0,800.0,4.0,1.0,400.0,2092.5,1590.5,5.89,-184.09,69.0,155.8,41.38,486.2,-0.64091,1
