rank,key,z1,z2,D_pw_mm,alpha,D_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa,feasible,warn,t_s,L_w_mm,L_we_mm,taper_2beta_deg,cone_angle_deg,mass_brg_t,mass_shaft_t,mass_total_t,sigma_margin
96,1.00_6.00_4165.0_15_173.60_422.50,1.0,6.0,4165.0,15.0,173.6,2.4338,69,3721.0,4597.0,550.0,532.0,449.0,6.09439,19966.6,82042.6,121975.8,2095.5,1,,0.33,422.5,413.9,1.1882,13.8118,19.9666,82.0426,121.9758,4.5
97,1.00_6.00_4150.0_15_199.50_408.60,1.0,6.0,4150.0,15.0,199.5,2.0481,60,3690.0,4598.0,532.0,515.0,434.0,6.08996,19633.5,82955.7,122222.7,2098.5,1,,0.27,408.6,400.0,1.3623,13.6377,19.6335,82.9557,122.2227,1.5
98,1.00_6.00_4171.0_16_188.30_405.70,1.0,6.0,4171.0,16.0,188.3,2.1545,64,3718.0,4612.0,528.0,511.0,431.0,6.17387,19430.9,82246.9,121108.7,2097.7,1,,0.27,405.7,397.1,1.3665,14.6335,19.4309,82.2469,121.1087,2.3
99,1.00_5.80_4180.0_15_192.90_421.90,1.0,5.8,4180.0,15.0,192.9,2.1871,62,3718.0,4630.0,549.0,532.0,448.0,5.89783,20594.8,79716.2,120905.8,2099.9,1,,0.26,421.9,413.3,1.3101,13.6899,20.5948,79.7162,120.9058,0.1
100,1.00_5.90_4200.0_15_173.60_425.70,1.0,5.9,4200.0,15.0,173.6,2.4522,69,3754.0,4633.0,554.0,536.0,452.0,6.00375,20325.0,79893.5,120543.5,2097.9,1,,0.31,425.7,417.1,1.1787,13.8213,20.325,79.8935,120.5435,2.1
101,1.00_6.00_4199.0_15_188.80_408.00,1.0,6.0,4199.0,15.0,188.8,2.161,64,3750.0,4636.0,531.0,514.0,434.0,6.10282,19447.7,81328.2,120223.5,2095.4,1,,0.26,408.0,399.4,1.2779,13.7221,19.4477,81.3282,120.2236,4.6
102,1.00_6.00_4204.0_15_186.90_403.70,1.0,6.0,4204.0,15.0,186.9,2.16,65,3760.0,4637.0,526.0,509.0,429.0,6.10411,19097.7,80999.6,119194.9,2099.3,1,,0.29,403.7,395.1,1.2641,13.7359,19.0977,80.9996,119.195,0.7
103,1.00_5.90_4206.0_15_192.80_406.10,1.0,5.9,4206.0,15.0,192.8,2.1063,63,3754.0,4646.0,529.0,512.0,432.0,6.00478,19499.8,79893.5,118893.1,2099.6,1,,0.28,406.1,397.5,1.3017,13.6983,19.4998,79.8935,118.8931,0.4
104,1.00_5.90_4216.0_15_186.90_408.70,1.0,5.9,4216.0,15.0,186.9,2.1867,65,3768.0,4652.0,532.0,515.0,434.0,6.00732,19542.2,79656.2,118740.6,2100.0,1,,0.26,408.7,400.1,1.2607,13.7393,19.5422,79.6562,118.7406,0.0
105,1.00_5.90_4219.0_15_192.50_406.10,1.0,5.9,4219.0,15.0,192.5,2.1096,63,3768.0,4659.0,529.0,512.0,432.0,6.00825,19518.8,79656.2,118693.9,2099.9,1,,0.27,406.1,397.5,1.296,13.704,19.5188,79.6562,118.6938,0.1
106,1.00_5.90_4225.0_15_186.90_409.00,1.0,5.9,4225.0,15.0,186.9,2.1883,65,3777.0,4661.0,533.0,515.0,435.0,6.01073,19599.1,79305.3,118503.5,2099.3,1,,0.26,409.0,400.4,1.2581,13.7419,19.5991,79.3053,118.5035,0.7
107,1.00_5.90_4236.0_15_187.90_404.90,1.0,5.9,4236.0,15.0,187.9,2.1549,65,3790.0,4670.0,527.0,510.0,430.0,6.01269,19336.7,79037.7,117711.1,2099.9,1,,0.29,404.9,396.3,1.2614,13.7386,19.3367,79.0377,117.7111,0.1
108,1.00_6.00_4244.0_15_185.80_401.40,1.0,6.0,4244.0,15.0,185.8,2.1604,66,3802.0,4674.0,523.0,506.0,427.0,6.11478,19064.1,79974.7,118102.9,2093.1,1,,0.27,401.4,392.8,1.2456,13.7544,19.0641,79.9747,118.1029,6.9
109,1.00_6.00_4250.0_15_186.90_401.60,1.0,6.0,4250.0,15.0,186.9,2.1487,65,3807.0,4681.0,523.0,506.0,427.0,6.11641,19077.2,79802.4,117956.7,2099.8,1,,0.28,401.6,393.0,1.251,13.749,19.0772,79.8024,117.9568,0.2
110,1.00_5.60_4242.0_15_182.70_424.80,1.0,5.6,4242.0,15.0,182.7,2.3251,67,3788.0,4684.0,553.0,535.0,451.0,5.71518,20835.4,75291.6,116962.4,2100.0,1,,0.4,424.8,416.2,1.2262,13.7738,20.8354,75.2916,116.9624,0.0
111,1.00_5.90_4250.0_15_188.00_405.10,1.0,5.9,4250.0,15.0,188.0,2.1548,65,3804.0,4685.0,528.0,511.0,431.0,6.01644,19442.9,78787.2,117673.0,2098.0,1,,0.29,405.1,396.5,1.2581,13.7419,19.4429,78.7872,117.673,2.0
112,1.00_6.00_4266.0_15_184.00_396.20,1.0,6.0,4266.0,15.0,184.0,2.1533,67,3830.0,4691.0,516.0,499.0,421.0,6.12063,18661.1,79168.7,116490.9,2096.7,1,,0.28,396.2,387.6,1.2279,13.7721,18.6611,79.1687,116.4909,3.3
113,1.00_6.00_4268.0_15_192.70_390.70,1.0,6.0,4268.0,15.0,192.7,2.0275,64,3827.0,4698.0,509.0,492.0,415.0,6.12136,18516.6,79387.7,116421.0,2099.9,1,,0.26,390.7,382.1,1.283,13.717,18.5166,79.3877,116.4209,0.1
114,1.00_6.00_4284.0_15_183.30_395.70,1.0,6.0,4284.0,15.0,183.3,2.1588,67,3848.0,4708.0,515.0,499.0,421.0,6.12443,18670.8,78698.8,116040.4,2100.0,1,,0.28,395.7,387.1,1.2185,13.7815,18.6708,78.6988,116.0404,0.0
115,1.00_6.00_4304.0_15_181.00_395.10,1.0,6.0,4304.0,15.0,181.0,2.1829,68,3871.0,4726.0,515.0,498.0,420.0,6.13073,18635.9,78324.4,115596.2,2099.6,1,,0.3,395.1,386.5,1.1985,13.8015,18.6359,78.3244,115.5962,0.4
116,1.00_6.00_4310.0_15_177.10_393.50,1.0,6.0,4310.0,15.0,177.1,2.2219,70,3882.0,4727.0,512.0,496.0,418.0,6.13125,18412.4,77978.2,114803.0,2099.0,1,,0.31,393.5,384.9,1.1721,13.8279,18.4124,77.9782,114.803,1.0
117,1.00_5.90_4317.0_15_170.60_401.50,1.0,5.9,4317.0,15.0,170.6,2.3535,73,3890.0,4733.0,523.0,506.0,427.0,6.03399,18898.3,76657.7,114454.2,2097.7,1,,0.3,401.5,392.9,1.1289,13.8711,18.8983,76.6577,114.4543,2.3
118,1.00_5.90_4332.0_15_173.50_398.70,1.0,5.9,4332.0,15.0,173.5,2.298,72,3904.0,4749.0,519.0,502.0,424.0,6.03807,18824.4,76371.5,114020.2,2095.3,1,,0.29,398.7,390.1,1.1435,13.8565,18.8244,76.3715,114.0203,4.7
119,1.00_5.90_4332.0_15_178.60_396.10,1.0,5.9,4332.0,15.0,178.6,2.2178,70,3901.0,4752.0,516.0,499.0,421.0,6.03817,18778.6,76310.8,113867.9,2095.2,1,,0.32,396.1,387.5,1.1758,13.8242,18.7786,76.3108,113.868,4.8
120,1.00_5.90_4335.0_15_173.50_398.70,1.0,5.9,4335.0,15.0,173.5,2.298,72,3907.0,4752.0,519.0,502.0,424.0,6.03887,18834.5,76146.0,113815.0,2095.5,1,,0.31,398.7,390.1,1.1427,13.8573,18.8345,76.146,113.815,4.5
121,1.00_5.90_4343.0_15_171.70_395.90,1.0,5.9,4343.0,15.0,171.7,2.3058,73,3918.0,4756.0,516.0,499.0,421.0,6.04097,18607.1,75793.4,113007.6,2099.4,1,,0.29,395.9,387.3,1.1293,13.8707,18.6071,75.7934,113.0076,0.6
122,1.00_5.90_4355.0_15_172.10_393.90,1.0,5.9,4355.0,15.0,172.1,2.2888,73,3932.0,4767.0,513.0,496.0,419.0,6.04419,18473.8,75496.5,112444.1,2099.7,1,,0.29,393.9,385.3,1.1289,13.8711,18.4738,75.4965,112.4441,0.3
123,1.00_5.90_4364.0_15_172.50_393.20,1.0,5.9,4364.0,15.0,172.5,2.2794,73,3940.0,4776.0,512.0,496.0,418.0,6.04561,18501.6,75366.0,112369.3,2097.9,1,,0.3,393.2,384.6,1.1291,13.8709,18.5016,75.366,112.3692,2.1
124,1.00_6.00_4369.0_15_170.20_391.20,1.0,6.0,4369.0,15.0,170.2,2.2985,74,3949.0,4778.0,509.0,493.0,416.0,6.1469,18278.0,76429.8,112985.7,2092.7,1,,0.31,391.2,382.6,1.1134,13.8866,18.278,76.4298,112.9858,7.3
125,1.00_5.90_4371.0_15_170.50_393.10,1.0,5.9,4371.0,15.0,170.5,2.3056,74,3950.0,4781.0,512.0,495.0,418.0,6.04844,18430.9,75273.6,112135.4,2097.1,1,,0.31,393.1,384.5,1.1148,13.8852,18.4309,75.2736,112.1354,2.9
126,1.00_5.90_4373.0_15_170.50_393.10,1.0,5.9,4373.0,15.0,170.5,2.3056,74,3952.0,4783.0,512.0,495.0,418.0,6.04898,18437.4,75022.7,111897.6,2097.5,1,,0.3,393.1,384.5,1.1143,13.8857,18.4374,75.0227,111.8975,2.5
127,1.00_6.00_4381.0_15_168.20_388.70,1.0,6.0,4381.0,15.0,168.2,2.3109,75,3965.0,4786.0,506.0,490.0,413.0,6.15007,18040.7,75861.9,111943.3,2097.9,1,,0.29,388.7,380.1,1.0979,13.9021,18.0407,75.8619,111.9433,2.1
128,1.00_5.80_4377.0_15_170.90_397.00,1.0,5.8,4377.0,15.0,170.9,2.323,74,3953.0,4790.0,517.0,500.0,422.0,5.95005,18789.3,73869.8,111448.4,2098.4,1,,0.3,397.0,388.4,1.1158,13.8842,18.7893,73.8698,111.4484,1.6
129,1.00_5.90_4396.0_15_171.40_389.80,1.0,5.9,4396.0,15.0,171.4,2.2742,74,3976.0,4805.0,508.0,491.0,414.0,6.05515,18313.9,74616.4,111244.1,2096.2,1,,0.3,389.8,381.2,1.1143,13.8857,18.3139,74.6164,111.2442,3.8
130,1.00_5.90_4400.0_15_171.50_390.70,1.0,5.9,4400.0,15.0,171.5,2.2781,74,3979.0,4810.0,509.0,492.0,415.0,6.05622,18417.0,74381.8,111215.7,2094.4,1,,0.3,390.7,382.1,1.114,13.886,18.417,74.3818,111.2158,5.6
131,1.00_5.90_4403.0_15_174.70_389.50,1.0,5.9,4403.0,15.0,174.7,2.2295,72,3980.0,4815.0,507.0,491.0,414.0,6.05609,18382.2,74401.1,111165.5,2100.0,1,,0.47,389.5,380.9,1.1332,13.8668,18.3822,74.4011,111.1655,0.0
132,1.00_6.00_4412.0_16_164.90_383.10,1.0,6.0,4412.0,16.0,164.9,2.3232,77,3997.0,4816.0,499.0,483.0,407.0,6.24134,17915.4,75299.0,111129.7,2095.9,1,,0.28,383.1,374.5,1.1395,14.8605,17.9154,75.299,111.1298,4.1
133,1.00_5.80_4401.0_16_171.40_390.50,1.0,5.8,4401.0,16.0,171.4,2.2783,74,3975.0,4816.0,509.0,492.0,415.0,6.03933,18675.8,73431.4,110783.0,2098.1,1,,0.31,390.5,381.9,1.1856,14.8144,18.6758,73.4314,110.783,1.9
134,1.00_6.00_4416.0_16_164.50_382.30,1.0,6.0,4416.0,16.0,164.5,2.324,77,4002.0,4819.0,498.0,482.0,406.0,6.24248,17837.2,75096.9,110771.2,2099.5,1,,0.3,382.3,373.7,1.1358,14.8642,17.8372,75.0969,110.7713,0.5
135,1.00_5.90_4419.0_15_170.00_387.50,1.0,5.9,4419.0,15.0,170.0,2.2794,75,4002.0,4825.0,505.0,488.0,412.0,6.06127,18175.8,73941.5,110293.1,2096.9,1,,0.28,387.5,378.9,1.1,13.9,18.1758,73.9415,110.2931,3.1
136,1.00_6.00_4433.0_15_179.50_378.80,1.0,6.0,4433.0,15.0,179.5,2.1103,71,4012.0,4843.0,493.0,477.0,403.0,6.16421,17845.6,74990.2,110681.3,2093.1,1,,0.29,378.8,370.2,1.1556,13.8444,17.8456,74.9902,110.6814,6.9
137,1.00_6.00_4440.0_15_177.40_374.60,1.0,6.0,4440.0,15.0,177.4,2.1116,72,4024.0,4845.0,488.0,472.0,398.0,6.16604,17470.8,74618.9,109560.4,2098.8,1,,0.32,374.6,366.0,1.1409,13.8591,17.4708,74.6189,109.5605,1.2
138,1.00_6.00_4447.0_15_177.80_372.50,1.0,6.0,4447.0,15.0,177.8,2.0951,72,4032.0,4851.0,485.0,469.0,396.0,6.16792,17343.6,74469.8,109156.9,2099.9,1,,0.29,372.5,363.9,1.1416,13.8584,17.3436,74.4698,109.157,0.1
139,1.00_5.90_4451.0_15_173.70_379.20,1.0,5.9,4451.0,15.0,173.7,2.1831,74,4035.0,4856.0,494.0,478.0,403.0,6.06891,17807.3,73380.3,108994.9,2097.9,1,,0.32,379.2,370.6,1.1153,13.8847,17.8073,73.3803,108.9949,2.1
140,1.00_6.00_4459.0_15_177.80_372.70,1.0,6.0,4459.0,15.0,177.8,2.0962,72,4044.0,4864.0,485.0,470.0,396.0,6.17013,17413.5,74092.0,108919.0,2099.2,1,,0.32,372.7,364.1,1.1387,13.8613,17.4135,74.092,108.919,0.8
141,1.00_5.90_4459.0_15_178.90_375.00,1.0,5.9,4459.0,15.0,178.9,2.0961,72,4041.0,4866.0,488.0,473.0,399.0,6.07015,17658.6,73194.6,108511.8,2098.6,1,,0.31,375.0,366.4,1.1454,13.8546,17.6586,73.1946,108.5118,1.4
142,1.00_5.80_4471.0_16_165.30_384.00,1.0,5.8,4471.0,16.0,165.3,2.323,78,4055.0,4876.0,500.0,484.0,408.0,6.05825,18247.9,71718.7,108214.4,2097.6,1,,0.31,384.0,375.4,1.1276,14.8724,18.2479,71.7187,108.2145,2.4
143,1.00_6.00_4489.0_15_161.70_375.20,1.0,6.0,4489.0,15.0,161.7,2.3203,80,4088.0,4880.0,489.0,473.0,399.0,6.17885,17240.1,73388.0,107868.2,2099.3,1,,0.31,375.2,366.6,1.0323,13.9677,17.2401,73.388,107.8682,0.7
144,1.00_5.70_4487.0_15_179.00_385.00,1.0,5.7,4487.0,15.0,179.0,2.1508,72,4063.0,4900.0,501.0,485.0,409.0,5.87865,18514.3,70433.0,107461.5,2099.6,1,,0.29,385.0,376.4,1.1392,13.8608,18.5143,70.433,107.4616,0.4
145,1.00_5.90_4497.0_15_178.80_374.30,1.0,5.9,4497.0,15.0,178.8,2.0934,72,4080.0,4904.0,487.0,472.0,398.0,6.08032,17709.8,72415.1,107834.8,2098.2,1,,0.31,374.3,365.7,1.1355,13.8645,17.7098,72.4151,107.8347,1.8
146,1.00_6.00_4511.0_15_173.60_368.30,1.0,6.0,4511.0,15.0,173.6,2.1215,75,4103.0,4909.0,480.0,464.0,391.0,6.18496,17157.9,73048.4,107364.2,2094.6,1,,0.28,368.3,359.7,1.1004,13.8996,17.1579,73.0484,107.3642,5.4
147,1.00_5.70_4505.0_15_178.90_384.70,1.0,5.7,4505.0,15.0,178.9,2.1504,72,4081.0,4918.0,501.0,485.0,409.0,5.88346,18565.7,70169.8,107301.2,2099.4,1,,0.32,384.7,376.1,1.1342,13.8658,18.5657,70.1698,107.3012,0.6
148,1.00_5.70_4509.0_15_177.90_383.40,1.0,5.7,4509.0,15.0,177.9,2.1551,73,4087.0,4920.0,499.0,483.0,407.0,5.88451,18454.8,69983.2,106892.9,2096.6,1,,0.29,383.4,374.8,1.1271,13.8729,18.4548,69.9832,106.8928,3.4
149,1.00_5.80_4524.0_15_178.90_375.50,1.0,5.8,4524.0,15.0,178.9,2.0989,73,4106.0,4931.0,489.0,473.0,399.0,5.98854,17933.3,70554.8,106421.5,2094.4,1,,0.29,375.5,366.9,1.1296,13.8704,17.9333,70.5548,106.4214,5.6
150,1.00_6.00_4536.0_16_167.40_366.50,1.0,6.0,4536.0,16.0,167.4,2.1894,78,4129.0,4932.0,477.0,462.0,390.0,6.2759,17186.1,72282.0,106654.2,2093.6,1,,0.3,366.5,357.9,1.1256,14.8744,17.1861,72.282,106.6542,6.4
151,1.00_5.90_4545.0_15_164.30_376.20,1.0,5.9,4545.0,15.0,164.3,2.2897,79,4141.0,4939.0,490.0,474.0,400.0,6.09388,17568.9,71075.6,106213.4,2099.5,1,,0.31,376.2,367.6,1.0359,13.9641,17.5689,71.0756,106.2134,0.5
152,1.00_5.90_4547.0_15_172.20_368.00,1.0,5.9,4547.0,15.0,172.2,2.137,76,4140.0,4943.0,479.0,464.0,391.0,6.09357,17216.2,71057.9,105490.4,2099.5,1,,0.3,368.0,359.4,1.0835,13.9165,17.2162,71.0579,105.4903,0.5
153,1.00_6.00_4547.0_16_172.50_360.60,1.0,6.0,4547.0,16.0,172.5,2.0904,76,4140.0,4944.0,470.0,454.0,383.0,6.28016,16898.7,72168.2,105965.6,2095.4,1,,0.33,360.6,352.0,1.156,14.844,16.8987,72.1682,105.9656,4.6
154,1.00_5.80_4548.0_16_172.50_368.80,1.0,5.8,4548.0,16.0,172.5,2.138,76,4135.0,4950.0,480.0,465.0,392.0,6.07944,17558.3,70162.6,105279.1,2099.3,1,,0.29,368.8,360.2,1.1558,14.8442,17.5583,70.1626,105.2792,0.7
155,1.00_6.00_4562.0_15_171.20_359.20,1.0,6.0,4562.0,15.0,171.2,2.0981,77,4162.0,4952.0,468.0,453.0,382.0,6.19756,16585.4,71621.4,104792.2,2099.7,1,,0.3,359.2,350.6,1.074,13.926,16.5854,71.6214,104.7922,0.3
156,1.00_6.00_4586.0_15_171.20_359.20,1.0,6.0,4586.0,15.0,171.2,2.0981,77,4186.0,4976.0,468.0,453.0,382.0,6.20398,16651.6,71414.2,104717.4,2097.7,1,,0.31,359.2,350.6,1.0686,13.9314,16.6516,71.4142,104.7174,2.3
157,1.00_5.90_4580.0_16_170.90_361.10,1.0,5.9,4580.0,16.0,170.9,2.1129,77,4174.0,4976.0,470.0,455.0,384.0,6.18858,17006.0,70418.5,104430.6,2099.9,1,,0.28,361.1,352.5,1.1377,14.8623,17.006,70.4185,104.4305,0.1
158,1.00_6.00_4596.0_15_170.00_356.20,1.0,6.0,4596.0,15.0,170.0,2.0953,78,4199.0,4983.0,464.0,449.0,379.0,6.20664,16435.5,71008.1,103879.1,2099.8,1,,0.31,356.2,347.6,1.0591,13.9409,16.4355,71.0081,103.8791,0.2
159,1.00_6.00_4608.0_15_172.20_354.40,1.0,6.0,4608.0,15.0,172.2,2.0581,77,4210.0,4996.0,462.0,447.0,377.0,6.20989,16403.6,70881.1,103688.4,2100.0,0,,0.28,354.4,345.8,1.0696,13.9304,16.4036,70.8811,103.6883,0.0
