key,z1,z2,D_pw_mm,alpha,D_we_mm,L_w_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa,feasible,warn,t_s,L_we_mm,taper_2beta_deg,cone_angle_deg,rank,mass_brg_t,mass_shaft_t,mass_total_t,sigma_margin
1.00_6.00_4001.0_15_205.80_431.80,1.0,6.0,4001.0,15.0,205.8,431.8,2.0982,56,3520.0,4470.0,562.0,544.0,459.0,6.05128,20959.5,88172.7,130091.7,2099.6,1,,0.27,423.2,1.4531,13.5469,96,20.9595,88.1727,130.0917,0.4
1.00_5.90_4004.0_15_205.80_437.80,1.0,5.9,4004.0,15.0,205.8,437.8,2.1273,56,3519.0,4476.0,570.0,552.0,465.0,5.95209,21447.3,87040.4,129935.1,2099.7,1,,0.28,429.2,1.4521,13.5479,97,21.4473,87.0404,129.935,0.3
1.00_6.00_4009.0_15_205.80_432.60,1.0,6.0,4009.0,15.0,205.8,432.6,2.102,56,3528.0,4478.0,563.0,545.0,460.0,6.05342,21032.3,87873.4,129938.0,2098.0,1,,0.29,424.0,1.4504,13.5496,98,21.0323,87.8734,129.938,2.0
1.00_6.00_4019.0_15_205.80_432.20,1.0,6.0,4019.0,15.0,205.8,432.2,2.1001,56,3538.0,4488.0,563.0,545.0,459.0,6.05609,21057.8,87623.2,129738.9,2097.7,1,,0.28,423.6,1.4469,13.5531,99,21.0578,87.6232,129.7388,2.3
1.00_5.90_4016.0_15_205.80_437.80,1.0,5.9,4016.0,15.0,205.8,437.8,2.1273,56,3531.0,4488.0,570.0,552.0,465.0,5.95529,21496.3,86598.7,129591.4,2099.0,1,,0.28,429.2,1.448,13.552,100,21.4963,86.5987,129.5913,1.0
1.00_6.00_4028.0_15_202.50_431.70,1.0,6.0,4028.0,15.0,202.5,431.7,2.1319,57,3550.0,4493.0,562.0,544.0,459.0,6.05842,20949.7,87164.1,129063.5,2098.1,1,,0.27,423.1,1.4218,13.5782,101,20.9497,87.1641,129.0635,1.9
1.00_6.00_4033.0_15_202.40_431.50,1.0,6.0,4033.0,15.0,202.4,431.5,2.1319,57,3556.0,4498.0,562.0,544.0,459.0,6.05975,20941.9,87061.0,128944.7,2098.3,1,,0.28,422.9,1.4194,13.5806,102,20.9419,87.061,128.9448,1.7
1.00_5.90_4028.0_15_204.20_436.40,1.0,5.9,4028.0,15.0,204.2,436.4,2.1371,57,3546.0,4498.0,568.0,550.0,464.0,5.95846,21425.9,85974.5,128826.3,2092.9,1,,0.3,427.8,1.4332,13.5668,103,21.4259,85.9745,128.8263,7.1
1.00_5.90_4037.0_15_204.40_431.00,1.0,5.9,4037.0,15.0,204.4,431.0,2.1086,57,3558.0,4504.0,561.0,543.0,458.0,5.96087,21039.8,85772.1,127851.8,2098.9,1,,0.28,422.4,1.4315,13.5685,104,21.0398,85.7721,127.8517,1.1
1.00_5.90_4040.0_15_204.40_431.00,1.0,5.9,4040.0,15.0,204.4,431.0,2.1086,57,3561.0,4507.0,561.0,543.0,458.0,5.96167,21051.7,85593.8,127697.3,2098.9,1,,0.28,422.4,1.4304,13.5696,105,21.0517,85.5938,127.6972,1.1
1.00_5.90_4055.0_15_204.40_431.00,1.0,5.9,4055.0,15.0,204.4,431.0,2.1086,57,3576.0,4522.0,561.0,543.0,458.0,5.96568,21111.2,85205.3,127427.6,2097.8,1,,0.28,422.4,1.4254,13.5746,106,21.1112,85.2053,127.4277,2.2
1.00_5.90_4061.0_15_201.40_430.10,1.0,5.9,4061.0,15.0,201.4,430.1,2.1356,58,3585.0,4524.0,560.0,542.0,457.0,5.96721,20976.7,84917.2,126870.6,2099.1,1,,0.29,421.5,1.4035,13.5965,107,20.9767,84.9172,126.8706,0.9
1.00_6.00_4072.0_15_201.70_422.40,1.0,6.0,4072.0,15.0,201.7,422.4,2.0942,58,3601.0,4531.0,550.0,532.0,449.0,6.07016,20416.8,85599.6,126433.1,2099.4,1,,0.27,413.8,1.4018,13.5982,108,20.4168,85.5996,126.4332,0.6
1.00_5.90_4071.0_15_202.80_427.10,1.0,5.9,4071.0,15.0,202.8,427.1,2.106,58,3596.0,4534.0,556.0,538.0,454.0,5.96992,20854.2,84417.8,126126.1,2096.9,1,,0.27,418.5,1.4095,13.5905,109,20.8542,84.4178,126.1262,3.1
1.00_6.00_4078.0_15_206.00_418.40,1.0,6.0,4078.0,15.0,206.0,418.4,2.0311,57,3606.0,4538.0,545.0,527.0,445.0,6.07187,20250.0,85461.5,125961.5,2098.9,1,,0.26,409.8,1.4283,13.5717,110,20.25,85.4615,125.9615,1.1
1.00_5.90_4085.0_15_201.70_427.80,1.0,5.9,4085.0,15.0,201.7,427.8,2.121,58,3611.0,4547.0,557.0,539.0,455.0,5.97364,20887.8,84009.8,125785.3,2099.8,1,,0.28,419.2,1.3976,13.6024,111,20.8878,84.0098,125.7854,0.2
1.00_5.90_4086.0_15_202.60_425.80,1.0,5.9,4086.0,15.0,202.6,425.8,2.1017,58,3612.0,4548.0,555.0,537.0,453.0,5.97393,20813.0,84034.1,125660.1,2098.5,1,,0.27,417.2,1.4032,13.5968,112,20.813,84.0341,125.6601,1.5
1.00_6.00_4090.0_15_206.70_417.40,1.0,6.0,4090.0,15.0,206.7,417.4,2.0194,57,3618.0,4551.0,544.0,526.0,444.0,6.0751,20283.0,85231.8,125797.7,2096.3,1,,0.28,408.8,1.4289,13.5711,113,20.283,85.2318,125.7978,3.7
1.00_6.00_4095.0_15_202.50_418.80,1.0,6.0,4095.0,15.0,202.5,418.8,2.0681,58,3626.0,4552.0,545.0,528.0,445.0,6.07533,20234.7,84900.2,125369.6,2099.6,1,,0.28,410.2,1.3996,13.6004,114,20.2347,84.9002,125.3696,0.4
1.00_5.80_4100.0_16_184.20_434.40,1.0,5.8,4100.0,16.0,184.2,434.4,2.3583,64,3632.0,4556.0,566.0,547.0,462.0,5.95545,21302.2,82173.3,124777.7,2098.0,1,,0.29,425.8,1.3601,14.6399,115,21.3022,82.1733,124.7777,2.0
1.00_6.00_4101.0_15_206.80_416.10,1.0,6.0,4101.0,15.0,206.8,416.1,2.0121,57,3630.0,4561.0,542.0,524.0,442.0,6.07804,20199.9,84733.3,125133.0,2097.5,1,,0.27,407.5,1.4259,13.5741,116,20.1999,84.7333,125.1331,2.5
1.00_6.00_4120.0_15_185.90_420.70,1.0,6.0,4120.0,15.0,185.9,420.7,2.263,64,3666.0,4562.0,548.0,530.0,447.0,6.08262,19998.3,83735.5,123732.1,2095.3,1,,0.28,412.1,1.2822,13.7178,117,19.9983,83.7355,123.7321,4.7
1.00_5.90_4124.0_15_185.90_423.60,1.0,5.9,4124.0,15.0,185.9,423.6,2.2786,64,3668.0,4568.0,552.0,534.0,450.0,5.98369,20259.2,82494.2,123012.5,2099.8,1,,0.29,415.0,1.281,13.719,118,20.2592,82.4942,123.0126,0.2
1.00_6.00_4127.0_15_185.90_420.70,1.0,6.0,4127.0,15.0,185.9,420.7,2.263,64,3673.0,4569.0,548.0,530.0,447.0,6.08449,20024.5,83633.4,123682.5,2094.7,1,,0.3,412.1,1.2801,13.7199,119,20.0245,83.6334,123.6824,5.3
1.00_6.00_4134.0_15_191.10_417.30,1.0,6.0,4134.0,15.0,191.1,417.3,2.1837,62,3677.0,4579.0,543.0,526.0,444.0,6.08548,19934.9,83459.2,123329.1,2099.2,1,,0.29,408.7,1.3123,13.6877,120,19.9349,83.4592,123.329,0.8
1.00_6.00_4138.0_15_185.90_420.70,1.0,6.0,4138.0,15.0,185.9,420.7,2.263,64,3684.0,4580.0,548.0,530.0,447.0,6.08744,20065.7,83085.2,123216.6,2094.5,1,,0.27,412.1,1.2769,13.7231,121,20.0657,83.0852,123.2166,5.5
1.00_5.90_4137.0_15_185.90_423.60,1.0,5.9,4137.0,15.0,185.9,423.6,2.2786,64,3681.0,4581.0,552.0,534.0,450.0,5.98717,20308.5,82003.0,122620.1,2099.3,1,,0.27,415.0,1.2772,13.7228,122,20.3085,82.003,122.62,0.7
1.00_6.00_4141.0_15_191.10_417.30,1.0,6.0,4141.0,15.0,191.1,417.3,2.1837,62,3684.0,4586.0,543.0,526.0,444.0,6.08736,19960.8,83085.2,123006.8,2099.2,1,,0.27,408.7,1.3101,13.6899,123,19.9608,83.0852,123.0068,0.8
1.00_5.90_4141.0_15_192.90_418.80,1.0,5.9,4141.0,15.0,192.9,418.8,2.1711,62,3681.0,4589.0,545.0,528.0,445.0,5.9874,20196.6,82003.0,122396.2,2097.4,1,,0.27,410.2,1.3219,13.6781,124,20.1966,82.003,122.3962,2.6
1.00_6.00_4165.0_15_173.60_422.50,1.0,6.0,4165.0,15.0,173.6,422.5,2.4338,69,3721.0,4597.0,550.0,532.0,449.0,6.09439,19966.6,82042.6,121975.8,2095.5,1,,0.33,413.9,1.1882,13.8118,125,19.9666,82.0426,121.9758,4.5
1.00_6.00_4150.0_15_199.50_408.60,1.0,6.0,4150.0,15.0,199.5,408.6,2.0481,60,3690.0,4598.0,532.0,515.0,434.0,6.08996,19633.5,82955.7,122222.7,2098.5,1,,0.27,400.0,1.3623,13.6377,126,19.6335,82.9557,122.2227,1.5
1.00_6.00_4171.0_16_188.30_405.70,1.0,6.0,4171.0,16.0,188.3,405.7,2.1545,64,3718.0,4612.0,528.0,511.0,431.0,6.17387,19430.9,82246.9,121108.7,2097.7,1,,0.27,397.1,1.3665,14.6335,127,19.4309,82.2469,121.1087,2.3
1.00_5.80_4180.0_15_192.90_421.90,1.0,5.8,4180.0,15.0,192.9,421.9,2.1871,62,3718.0,4630.0,549.0,532.0,448.0,5.89783,20594.8,79716.2,120905.8,2099.9,1,,0.26,413.3,1.3101,13.6899,128,20.5948,79.7162,120.9058,0.1
1.00_5.90_4184.0_15_196.30_413.50,1.0,5.9,4184.0,15.0,196.3,413.5,2.1065,61,3724.0,4632.0,538.0,521.0,439.0,5.99898,20040.2,80848.1,120928.6,2099.7,1,,0.27,404.9,1.331,13.669,129,20.0402,80.8481,120.9285,0.3
1.00_5.90_4200.0_15_173.60_425.70,1.0,5.9,4200.0,15.0,173.6,425.7,2.4522,69,3754.0,4633.0,554.0,536.0,452.0,6.00375,20325.0,79893.5,120543.5,2097.9,1,,0.31,417.1,1.1787,13.8213,130,20.325,79.8935,120.5435,2.1
1.00_6.00_4199.0_15_188.80_408.00,1.0,6.0,4199.0,15.0,188.8,408.0,2.161,64,3750.0,4636.0,531.0,514.0,434.0,6.10282,19447.7,81328.2,120223.5,2095.4,1,,0.26,399.4,1.2779,13.7221,131,19.4477,81.3282,120.2236,4.6
1.00_6.00_4204.0_15_186.90_403.70,1.0,6.0,4204.0,15.0,186.9,403.7,2.16,65,3760.0,4637.0,526.0,509.0,429.0,6.10411,19097.7,80999.6,119194.9,2099.3,1,,0.29,395.1,1.2641,13.7359,132,19.0977,80.9996,119.195,0.7
1.00_5.90_4206.0_15_192.80_406.10,1.0,5.9,4206.0,15.0,192.8,406.1,2.1063,63,3754.0,4646.0,529.0,512.0,432.0,6.00478,19499.8,79893.5,118893.1,2099.6,1,,0.28,397.5,1.3017,13.6983,133,19.4998,79.8935,118.8931,0.4
1.00_6.00_4217.0_15_186.90_403.10,1.0,6.0,4217.0,15.0,186.9,403.1,2.1568,65,3773.0,4649.0,525.0,508.0,428.0,6.10759,19081.5,80734.1,118897.2,2099.3,1,,0.28,394.5,1.2604,13.7396,134,19.0815,80.7341,118.8971,0.7
1.00_5.90_4217.0_15_187.10_409.00,1.0,5.9,4217.0,15.0,187.1,409.0,2.186,65,3769.0,4653.0,533.0,515.0,435.0,6.00859,19572.8,79678.2,118823.8,2098.4,1,,0.27,400.4,1.2617,13.7383,135,19.5728,79.6782,118.8238,1.6
1.00_6.00_4222.0_15_186.90_402.90,1.0,6.0,4222.0,15.0,186.9,402.9,2.1557,65,3778.0,4654.0,525.0,508.0,428.0,6.10892,19096.0,80566.5,118758.5,2099.4,1,,0.27,394.3,1.259,13.741,136,19.096,80.5665,118.7585,0.6
1.00_5.90_4225.0_15_176.50_415.60,1.0,5.9,4225.0,15.0,176.5,415.6,2.3547,69,3783.0,4655.0,541.0,524.0,442.0,6.0095,19790.9,79161.2,118742.9,2095.1,1,,0.3,407.0,1.1908,13.8092,137,19.7909,79.1612,118.743,4.9
1.00_5.90_4219.0_15_192.50_406.10,1.0,5.9,4219.0,15.0,192.5,406.1,2.1096,63,3768.0,4659.0,529.0,512.0,432.0,6.00825,19518.8,79656.2,118693.9,2099.9,1,,0.27,397.5,1.296,13.704,138,19.5188,79.6562,118.6938,0.1
1.00_5.90_4223.0_15_186.90_408.40,1.0,5.9,4223.0,15.0,186.9,408.4,2.1851,65,3776.0,4659.0,532.0,515.0,434.0,6.00919,19539.0,79557.7,118635.7,2099.7,1,,0.28,399.8,1.2587,13.7413,139,19.539,79.5577,118.6357,0.3
1.00_5.90_4225.0_15_186.90_409.00,1.0,5.9,4225.0,15.0,186.9,409.0,2.1883,65,3777.0,4661.0,533.0,515.0,435.0,6.01073,19599.1,79305.3,118503.5,2099.3,1,,0.26,400.4,1.2581,13.7419,140,19.5991,79.3053,118.5035,0.7
1.00_5.90_4230.0_15_186.90_408.40,1.0,5.9,4230.0,15.0,186.9,408.4,2.1851,65,3783.0,4666.0,532.0,515.0,434.0,6.01106,19563.8,79161.2,118288.8,2099.8,1,,0.29,399.8,1.2567,13.7433,141,19.5638,79.1612,118.2888,0.2
1.00_6.00_4236.0_15_187.90_401.40,1.0,6.0,4236.0,15.0,187.9,401.4,2.1362,65,3792.0,4668.0,523.0,506.0,427.0,6.11269,19084.4,80316.6,118485.4,2095.7,1,,0.29,392.8,1.2614,13.7386,142,19.0844,80.3166,118.4854,4.3
1.00_5.90_4236.0_15_187.90_404.90,1.0,5.9,4236.0,15.0,187.9,404.9,2.1549,65,3790.0,4670.0,527.0,510.0,430.0,6.01269,19336.7,79037.7,117711.1,2099.9,1,,0.29,396.3,1.2614,13.7386,143,19.3367,79.0377,117.7111,0.1
1.00_6.00_4244.0_15_185.80_401.40,1.0,6.0,4244.0,15.0,185.8,401.4,2.1604,66,3802.0,4674.0,523.0,506.0,427.0,6.11478,19064.1,79974.7,118102.9,2093.1,1,,0.27,392.8,1.2456,13.7544,144,19.0641,79.9747,118.1029,6.9
1.00_6.00_4250.0_15_186.90_401.60,1.0,6.0,4250.0,15.0,186.9,401.6,2.1487,65,3807.0,4681.0,523.0,506.0,427.0,6.11641,19077.2,79802.4,117956.7,2099.8,1,,0.28,393.0,1.251,13.749,145,19.0772,79.8024,117.9568,0.2
1.00_6.00_4254.0_15_186.90_401.60,1.0,6.0,4254.0,15.0,186.9,401.6,2.1487,65,3811.0,4685.0,523.0,506.0,427.0,6.11748,19090.9,79607.5,117789.4,2099.8,1,,0.27,393.0,1.2499,13.7501,146,19.0909,79.6075,117.7893,0.2
1.00_5.90_4250.0_15_188.00_405.10,1.0,5.9,4250.0,15.0,188.0,405.1,2.1548,65,3804.0,4685.0,528.0,511.0,431.0,6.01644,19442.9,78787.2,117673.0,2098.0,1,,0.29,396.5,1.2581,13.7419,147,19.4429,78.7872,117.673,2.0
1.00_6.00_4266.0_15_184.00_396.20,1.0,6.0,4266.0,15.0,184.0,396.2,2.1533,67,3830.0,4691.0,516.0,499.0,421.0,6.12063,18661.1,79168.7,116490.9,2096.7,1,,0.28,387.6,1.2279,13.7721,148,18.6611,79.1687,116.4909,3.3
1.00_6.00_4268.0_15_192.70_390.70,1.0,6.0,4268.0,15.0,192.7,390.7,2.0275,64,3827.0,4698.0,509.0,492.0,415.0,6.12136,18516.6,79387.7,116421.0,2099.9,1,,0.26,382.1,1.283,13.717,149,18.5166,79.3877,116.4209,0.1
1.00_6.00_4284.0_15_183.40_395.90,1.0,6.0,4284.0,15.0,183.4,395.9,2.1587,67,3848.0,4709.0,516.0,499.0,421.0,6.12543,18710.8,78698.8,116120.4,2099.2,1,,0.33,387.3,1.2192,13.7808,150,18.7108,78.6988,116.1204,0.8
1.00_6.00_4304.0_15_181.00_395.10,1.0,6.0,4304.0,15.0,181.0,395.1,2.1829,68,3871.0,4726.0,515.0,498.0,420.0,6.13073,18635.9,78324.4,115596.2,2099.6,1,,0.3,386.5,1.1985,13.8015,151,18.6359,78.3244,115.5962,0.4
1.00_6.00_4310.0_15_177.10_393.50,1.0,6.0,4310.0,15.0,177.1,393.5,2.2219,70,3882.0,4727.0,512.0,496.0,418.0,6.13125,18412.4,77978.2,114803.0,2099.0,1,,0.31,384.9,1.1721,13.8279,152,18.4124,77.9782,114.803,1.0
1.00_5.90_4317.0_15_170.60_401.50,1.0,5.9,4317.0,15.0,170.6,401.5,2.3535,73,3890.0,4733.0,523.0,506.0,427.0,6.03399,18898.3,76657.7,114454.2,2097.7,1,,0.3,392.9,1.1289,13.8711,153,18.8983,76.6577,114.4543,2.3
1.00_6.00_4316.0_15_179.80_392.90,1.0,6.0,4316.0,15.0,179.8,392.9,2.1852,69,3886.0,4735.0,512.0,495.0,418.0,6.13391,18476.3,77772.6,114725.2,2098.2,1,,0.31,384.3,1.1876,13.8124,154,18.4763,77.7726,114.7252,1.8
1.00_6.00_4332.0_15_177.10_393.50,1.0,6.0,4332.0,15.0,177.1,393.5,2.2219,70,3904.0,4749.0,512.0,496.0,418.0,6.13714,18484.7,77564.8,114534.2,2097.5,1,,0.31,384.9,1.1663,13.8337,155,18.4847,77.5648,114.5342,2.5
1.00_5.90_4332.0_15_173.50_398.70,1.0,5.9,4332.0,15.0,173.5,398.7,2.298,72,3904.0,4749.0,519.0,502.0,424.0,6.03807,18824.4,76371.5,114020.2,2095.3,1,,0.29,390.1,1.1435,13.8565,156,18.8244,76.3715,114.0203,4.7
1.00_5.90_4332.0_15_178.60_396.10,1.0,5.9,4332.0,15.0,178.6,396.1,2.2178,70,3901.0,4752.0,516.0,499.0,421.0,6.03817,18778.6,76310.8,113867.9,2095.2,1,,0.32,387.5,1.1758,13.8242,157,18.7786,76.3108,113.868,4.8
1.00_5.90_4335.0_15_173.50_398.70,1.0,5.9,4335.0,15.0,173.5,398.7,2.298,72,3907.0,4752.0,519.0,502.0,424.0,6.03887,18834.5,76146.0,113815.0,2095.5,1,,0.31,390.1,1.1427,13.8573,158,18.8345,76.146,113.815,4.5
1.00_6.00_4340.0_15_171.90_396.30,1.0,6.0,4340.0,15.0,171.9,396.3,2.3054,72,3915.0,4754.0,516.0,499.0,421.0,6.14017,18570.5,77208.1,114349.1,2098.1,1,,0.3,387.7,1.1313,13.8687,159,18.5705,77.2081,114.3491,1.9
1.00_5.90_4343.0_15_171.70_395.90,1.0,5.9,4343.0,15.0,171.7,395.9,2.3058,73,3918.0,4756.0,516.0,499.0,421.0,6.04097,18607.1,75793.4,113007.6,2099.4,1,,0.29,387.3,1.1293,13.8707,160,18.6071,75.7934,113.0076,0.6
1.00_5.90_4355.0_15_172.10_393.90,1.0,5.9,4355.0,15.0,172.1,393.9,2.2888,73,3932.0,4767.0,513.0,496.0,419.0,6.04419,18473.8,75496.5,112444.1,2099.7,1,,0.29,385.3,1.1289,13.8711,161,18.4738,75.4965,112.4441,0.3
1.00_5.90_4364.0_15_172.50_393.20,1.0,5.9,4364.0,15.0,172.5,393.2,2.2794,73,3940.0,4776.0,512.0,496.0,418.0,6.04561,18501.6,75366.0,112369.3,2097.9,1,,0.3,384.6,1.1291,13.8709,162,18.5016,75.366,112.3692,2.1
1.00_6.00_4369.0_15_170.20_391.20,1.0,6.0,4369.0,15.0,170.2,391.2,2.2985,74,3949.0,4778.0,509.0,493.0,416.0,6.1469,18278.0,76429.8,112985.7,2092.7,1,,0.31,382.6,1.1134,13.8866,163,18.278,76.4298,112.9858,7.3
1.00_5.90_4371.0_15_170.50_393.10,1.0,5.9,4371.0,15.0,170.5,393.1,2.3056,74,3950.0,4781.0,512.0,495.0,418.0,6.04844,18430.9,75273.6,112135.4,2097.1,1,,0.31,384.5,1.1148,13.8852,164,18.4309,75.2736,112.1354,2.9
1.00_5.90_4373.0_15_170.50_393.10,1.0,5.9,4373.0,15.0,170.5,393.1,2.3056,74,3952.0,4783.0,512.0,495.0,418.0,6.04898,18437.4,75022.7,111897.6,2097.5,1,,0.3,384.5,1.1143,13.8857,165,18.4374,75.0227,111.8975,2.5
1.00_6.00_4381.0_15_168.20_388.70,1.0,6.0,4381.0,15.0,168.2,388.7,2.3109,75,3965.0,4786.0,506.0,490.0,413.0,6.15007,18040.7,75861.9,111943.3,2097.9,1,,0.29,380.1,1.0979,13.9021,166,18.0407,75.8619,111.9433,2.1
1.00_5.80_4377.0_15_170.90_397.00,1.0,5.8,4377.0,15.0,170.9,397.0,2.323,74,3953.0,4790.0,517.0,500.0,422.0,5.95005,18789.3,73869.8,111448.4,2098.4,1,,0.3,388.4,1.1158,13.8842,167,18.7893,73.8698,111.4484,1.6
1.00_5.90_4383.0_15_170.50_393.10,1.0,5.9,4383.0,15.0,170.5,393.1,2.3056,74,3962.0,4793.0,512.0,495.0,418.0,6.05165,18470.1,74927.7,111867.8,2096.6,1,,0.29,384.5,1.1119,13.8881,168,18.4701,74.9277,111.8679,3.4
1.00_5.80_4384.0_15_170.90_396.50,1.0,5.8,4384.0,15.0,170.9,396.5,2.3201,74,3960.0,4797.0,516.0,500.0,421.0,5.95093,18785.1,73718.5,111288.7,2098.7,1,,0.31,387.9,1.1141,13.8859,169,18.7851,73.7185,111.2887,1.3
1.00_5.90_4396.0_15_171.40_389.80,1.0,5.9,4396.0,15.0,171.4,389.8,2.2742,74,3976.0,4805.0,508.0,491.0,414.0,6.05515,18313.9,74616.4,111244.1,2096.2,1,,0.3,381.2,1.1143,13.8857,170,18.3139,74.6164,111.2442,3.8
1.00_5.90_4400.0_15_171.50_390.70,1.0,5.9,4400.0,15.0,171.5,390.7,2.2781,74,3979.0,4810.0,509.0,492.0,415.0,6.05622,18417.0,74381.8,111215.7,2094.4,1,,0.3,382.1,1.114,13.886,171,18.417,74.3818,111.2158,5.6
1.00_6.00_4412.0_16_164.90_383.10,1.0,6.0,4412.0,16.0,164.9,383.1,2.3232,77,3997.0,4816.0,499.0,483.0,407.0,6.24134,17915.4,75299.0,111129.7,2095.9,1,,0.28,374.5,1.1395,14.8605,172,17.9154,75.299,111.1298,4.1
1.00_5.80_4401.0_16_171.40_390.50,1.0,5.8,4401.0,16.0,171.4,390.5,2.2783,74,3975.0,4816.0,509.0,492.0,415.0,6.03933,18675.8,73431.4,110783.0,2098.1,1,,0.31,381.9,1.1856,14.8144,173,18.6758,73.4314,110.783,1.9
1.00_6.00_4416.0_16_164.50_382.30,1.0,6.0,4416.0,16.0,164.5,382.3,2.324,77,4002.0,4819.0,498.0,482.0,406.0,6.24248,17837.2,75096.9,110771.2,2099.5,1,,0.3,373.7,1.1358,14.8642,174,17.8372,75.0969,110.7713,0.5
1.00_5.90_4414.0_15_167.20_389.50,1.0,5.9,4414.0,15.0,167.2,389.5,2.3295,76,3998.0,4819.0,507.0,491.0,414.0,6.05888,18229.7,74159.7,110619.0,2098.1,1,,0.32,380.9,1.0837,13.9163,175,18.2297,74.1597,110.6191,1.9
1.00_6.00_4412.0_15_179.20_377.10,1.0,6.0,4412.0,15.0,179.2,377.1,2.1044,71,3993.0,4821.0,491.0,475.0,401.0,6.15859,17627.8,75221.3,110476.9,2099.1,1,,0.31,368.5,1.1591,13.8409,176,17.6278,75.2213,110.4769,0.9
1.00_5.90_4419.0_15_170.00_387.50,1.0,5.9,4419.0,15.0,170.0,387.5,2.2794,75,4002.0,4825.0,505.0,488.0,412.0,6.06127,18175.8,73941.5,110293.1,2096.9,1,,0.28,378.9,1.1,13.9,177,18.1758,73.9415,110.2931,3.1
1.00_6.00_4440.0_15_177.40_374.60,1.0,6.0,4440.0,15.0,177.4,374.6,2.1116,72,4024.0,4845.0,488.0,472.0,398.0,6.16604,17470.8,74618.9,109560.4,2098.8,1,,0.32,366.0,1.1409,13.8591,178,17.4708,74.6189,109.5605,1.2
1.00_6.00_4447.0_15_177.80_372.50,1.0,6.0,4447.0,15.0,177.8,372.5,2.0951,72,4032.0,4851.0,485.0,469.0,396.0,6.16792,17343.6,74469.8,109156.9,2099.9,1,,0.29,363.9,1.1416,13.8584,179,17.3436,74.4698,109.157,0.1
1.00_5.90_4451.0_15_173.70_379.20,1.0,5.9,4451.0,15.0,173.7,379.2,2.1831,74,4035.0,4856.0,494.0,478.0,403.0,6.06891,17807.3,73380.3,108994.9,2097.9,1,,0.32,370.6,1.1153,13.8847,180,17.8073,73.3803,108.9949,2.1
1.00_5.80_4457.0_16_165.10_383.70,1.0,5.8,4457.0,16.0,165.1,383.7,2.324,78,4041.0,4862.0,500.0,484.0,408.0,6.05423,18197.2,72050.9,108445.4,2099.9,1,,0.33,375.1,1.1297,14.8703,181,18.1972,72.0509,108.4453,0.1
1.00_6.00_4459.0_15_177.80_372.70,1.0,6.0,4459.0,15.0,177.8,372.7,2.0962,72,4044.0,4864.0,485.0,470.0,396.0,6.17013,17413.5,74092.0,108919.0,2099.2,1,,0.32,364.1,1.1387,13.8613,182,17.4135,74.092,108.919,0.8
1.00_5.90_4459.0_15_178.90_375.00,1.0,5.9,4459.0,15.0,178.9,375.0,2.0961,72,4041.0,4866.0,488.0,473.0,399.0,6.07015,17658.6,73194.6,108511.8,2098.6,1,,0.31,366.4,1.1454,13.8546,183,17.6586,73.1946,108.5118,1.4
1.00_5.80_4465.0_16_165.10_383.70,1.0,5.8,4465.0,16.0,165.1,383.7,2.324,78,4049.0,4870.0,500.0,484.0,408.0,6.05653,18222.7,71903.7,108349.1,2099.4,1,,0.3,375.1,1.1278,14.8722,184,18.2227,71.9037,108.3491,0.6
1.00_5.80_4471.0_16_165.30_384.00,1.0,5.8,4471.0,16.0,165.3,384.0,2.323,78,4055.0,4876.0,500.0,484.0,408.0,6.05825,18247.9,71718.7,108214.4,2097.6,1,,0.31,375.4,1.1276,14.8724,185,18.2479,71.7187,108.2145,2.4
1.00_5.80_4473.0_16_165.10_383.10,1.0,5.8,4473.0,16.0,165.1,383.1,2.3204,78,4058.0,4877.0,499.0,483.0,407.0,6.05882,18162.7,71773.4,108098.7,2099.8,1,,0.31,374.5,1.1258,14.8742,186,18.1627,71.7734,108.0988,0.2
1.00_6.00_4471.0_15_180.50_371.90,1.0,6.0,4471.0,15.0,180.5,371.9,2.0604,71,4054.0,4878.0,484.0,469.0,395.0,6.1734,17470.4,73976.7,108917.6,2097.8,1,,0.27,363.3,1.1523,13.8477,187,17.4704,73.9767,108.9175,2.2
1.00_6.00_4489.0_15_161.70_375.20,1.0,6.0,4489.0,15.0,161.7,375.2,2.3203,80,4088.0,4880.0,489.0,473.0,399.0,6.17885,17240.1,73388.0,107868.2,2099.3,1,,0.31,366.6,1.0323,13.9677,188,17.2401,73.388,107.8682,0.7
1.00_5.70_4474.0_17_176.80_379.30,1.0,5.7,4474.0,17.0,176.8,379.3,2.1454,73,4044.0,4893.0,494.0,478.0,403.0,6.04441,18549.1,70672.3,107770.5,2098.6,1,,0.3,370.7,1.2756,15.7244,189,18.5491,70.6723,107.7705,1.4
1.00_5.70_4476.0_17_176.80_378.30,1.0,5.7,4476.0,17.0,176.8,378.3,2.1397,73,4047.0,4894.0,493.0,477.0,402.0,6.04502,18463.9,70726.4,107654.2,2099.9,1,,0.31,369.7,1.2751,15.7249,190,18.4639,70.7264,107.6542,0.1
1.00_5.70_4487.0_15_179.00_385.00,1.0,5.7,4487.0,15.0,179.0,385.0,2.1508,72,4063.0,4900.0,501.0,485.0,409.0,5.87865,18514.3,70433.0,107461.5,2099.6,1,,0.29,376.4,1.1392,13.8608,191,18.5143,70.433,107.4616,0.4
