rank,case,DLC,D30_UW,D30_DW,k
210,off,DLC1.2-h-s4,0.0006365949585620963,4.686810899991429e-05,0.36
210,off,DLC1.2-h-s5,0.0006581125510018558,4.5791638604334367e-05,0.38
210,off,DLC1.2-h-s6,0.0006081594605858413,3.668866229161366e-05,0.39
210,off,DLC1.2-i-s1,0.00025405528597484016,1.8566177984331237e-05,0.48
210,off,DLC1.2-i-s2,0.0002571859687923438,2.4955593573229062e-05,0.4
210,off,DLC1.2-i-s3,0.0002653552164886989,2.4712410909937932e-05,0.41
210,off,DLC1.2-i-s4,0.00023220364351948097,1.9375561453857978e-05,0.45
210,off,DLC1.2-i-s5,0.0002612072858533763,3.211129813427086e-05,0.45
210,off,DLC1.2-i-s6,0.00023478258684200043,2.1919670728642733e-05,0.45
210,off,DLC1.2-j-s1,8.849805337954367e-05,1.2791500720904316e-05,0.47
210,off,DLC1.2-j-s2,9.548788875008679e-05,1.352768986777501e-05,0.52
210,off,DLC1.2-j-s3,9.381167305411763e-05,1.158746535024793e-05,0.5
210,off,DLC1.2-j-s4,9.06838189189918e-05,1.0894121802744422e-05,0.48
210,off,DLC1.2-j-s5,9.113414449512782e-05,1.5149808845478702e-05,0.52
210,off,DLC1.2-j-s6,9.219625311429268e-05,8.406438695874497e-06,0.54
210,off,DLC1.2-k-s1,3.243282266005267e-05,8.703997350139399e-06,0.58
210,off,DLC1.2-k-s2,2.4733683110903427e-05,6.338577377674131e-06,0.6
210,off,DLC1.2-k-s3,3.0603579208502956e-05,9.500338404771655e-06,0.6
210,off,DLC1.2-k-s4,4.109163625240804e-05,1.3522344803725408e-05,0.59
210,off,DLC1.2-k-s5,3.066311772020086e-05,1.2875246002578484e-05,0.5
210,off,DLC1.2-k-s6,3.074129478283658e-05,9.28727961684886e-06,0.56
210,off,DLC2.4.1-a-s1,2.7119223928003307e-06,3.916446051647723e-07,0.32
210,off,DLC2.4.1-a-s2,3.0733745657522974e-06,4.4281483696902777e-07,0.37
210,off,DLC2.4.1-a-s3,3.2874246148435993e-06,4.803838654705426e-07,0.35
210,off,DLC2.4.1-a-s4,3.2255400302171043e-06,4.4632657556175867e-07,0.33
210,off,DLC2.4.1-a-s5,3.1797889734427684e-06,4.662400845628531e-07,0.38
210,off,DLC2.4.1-a-s6,2.7408594822879307e-06,3.8689357336415866e-07,0.32
210,off,DLC2.4.1-b-s1,2.7799201335063194e-06,3.354037640350131e-07,0.63
210,off,DLC2.4.1-b-s2,2.0541636502620252e-06,2.4526990482084316e-07,0.51
210,off,DLC2.4.1-b-s3,2.7702246948340854e-06,3.0420149744240125e-07,0.41
210,off,DLC2.4.1-b-s4,2.5660745718487394e-06,2.9311662573913763e-07,0.49
210,off,DLC2.4.1-b-s5,3.5947721357108674e-06,5.289085673244201e-07,0.52
210,off,DLC2.4.1-b-s6,2.8517319840730834e-06,3.643336317286058e-07,0.38
210,off,DLC2.4.2-a-s1,4.287579345429225e-06,2.8714938732801867e-07,0.25
210,off,DLC2.4.2-a-s2,2.901508636369799e-06,1.9434271490162846e-07,0.19
210,off,DLC2.4.2-a-s3,2.948249581116463e-06,1.9661640756379592e-07,0.24
210,off,DLC2.4.2-a-s4,2.5768453027390793e-06,1.5881493525331755e-07,0.22
210,off,DLC2.4.2-a-s5,3.1413848677940057e-06,2.0854516681793124e-07,0.26
210,off,DLC2.4.2-a-s6,2.8656510449903516e-06,1.6691886227159618e-07,0.22
210,off,DLC2.4.2-b-s1,1.4405485530140132e-06,1.8329900001960792e-07,0.37
210,off,DLC2.4.2-b-s2,1.8239726507175084e-06,2.6412736641797486e-07,0.5
210,off,DLC2.4.2-b-s3,2.0188576768365997e-06,1.6858779596655427e-07,0.42
210,off,DLC2.4.2-b-s4,1.6549452198729296e-06,1.5874665089735971e-07,0.42
210,off,DLC2.4.2-b-s5,1.8651687332300352e-06,2.3518514968236033e-07,0.37
210,off,DLC2.4.2-b-s6,1.5099353694041033e-06,1.8251783625026497e-07,0.29
210,off,DLC4.1-a-y1,0.0008392333749208902,7.297472083182202e-05,0.16
210,off,DLC4.1-a-y2,0.0008223412131015086,7.078894786985479e-05,0.16
210,off,DLC4.1-a-y3,0.0008158730639070129,6.960756557407512e-05,0.16
210,off,DLC4.1-b-y1,3.7079824170458024e-05,2.8068064596989756e-06,0.28
210,off,DLC4.1-b-y2,3.3209410360291774e-05,2.3149378907225255e-06,0.29
210,off,DLC4.1-b-y3,3.257770292750315e-05,2.1538570814758706e-06,0.28
210,off,DLC4.1-c-y1,2.8024428699217467e-05,2.7594522043047924e-06,0.24
210,off,DLC4.1-c-y2,2.0682976776890545e-05,1.8306572473601238e-06,0.31
210,off,DLC4.1-c-y3,2.7337991485486106e-05,2.865285188945626e-06,0.48
210,off,DLC6.4-a-s1,0.0004693044403258249,4.2194376264131495e-05,3.0
210,off,DLC6.4-a-s2,0.0007283530981104495,6.548592816528092e-05,3.0
210,off,DLC6.4-a-s3,0.000791814265451633,7.130484602334332e-05,3.0
210,off,DLC6.4-a-s4,0.0005022611951268655,4.5234963902198646e-05,3.0
210,off,DLC6.4-a-s5,0.0005129453409360395,4.611375037062918e-05,3.0
210,off,DLC6.4-a-s6,0.0005026430411671402,4.521228871295246e-05,3.0
210,off,DLC6.4-b-s1,3.4692185218595316e-05,3.2309914385210203e-06,0.29
210,off,DLC6.4-b-s2,3.711218113267591e-05,3.4701998332562495e-06,0.28
210,off,DLC6.4-b-s3,3.263843786955414e-05,2.964356199608441e-06,0.23
210,off,DLC6.4-b-s4,4.196282277713053e-05,4.255011030571715e-06,0.4
210,off,DLC6.4-b-s5,5.189036814935437e-05,5.933442698721205e-06,0.51
210,off,DLC6.4-b-s6,3.20289635310171e-05,2.888096512447657e-06,0.25
210,adin,DLC1.2-a-s1,0.02354541099862091,0.0007693244490492151,0.17
210,adin,DLC1.2-a-s2,0.023584376921812526,0.0007787276956514924,0.16
210,adin,DLC1.2-a-s3,0.023704274353422778,0.0007989464860997128,0.16
210,adin,DLC1.2-a-s4,0.02400515042967082,0.0008179355281780712,0.16
210,adin,DLC1.2-a-s5,0.024278231660636397,0.0008742950027700254,0.18
210,adin,DLC1.2-a-s6,0.02375751262133855,0.0007929466765649007,0.17
210,adin,DLC1.2-b-s1,0.021186536172545536,0.0007367225373541477,0.18
