bin,LoadCase,n_pts,rpm,rev,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm,MASTA_force_x_N,MASTA_force_y_N,MASTA_axial_N,MASTA_moment_x_Nm,MASTA_moment_y_Nm,MASTA_torque_Nm,P_UW_N,P_DW_N,L10_UW_cycles,L10_DW_cycles,dmg_UW,dmg_DW
20,DLC1.2-d-s1_b20,200,5.859456300000001,1.9531521,3932.595392807194,44.94345515010925,-5034.969725109568,31700.58,-19059.2580626182,15387.437121824787,5034969.725109568,44943.45515010925,3932595.392807194,-15387437.121824788,-19059258.0626182,31700580.0,17628862.732764058,11163216.319931444,10839975.822937679,66523265.428637184,1.8018048489251038e-07,2.9360436343811828e-08
21,DLC1.2-d-s1_b21,200,5.8028523,1.9342841,3749.412300356756,71.81741909969188,-5020.0604947840875,31290.8885,-21974.67411558495,14954.191858921888,5020060.494784088,71817.41909969188,3749412.300356756,-14954191.858921887,-21974674.115584947,31290888.5,17840350.411032245,11536982.598871792,10163357.378611252,57572926.412010334,1.9031940213680705e-07,3.3597112749795665e-08
22,DLC1.2-d-s1_b22,200,5.6155251,1.8718417,3607.7980088661543,66.17166753714747,-5024.803053660285,29184.9915,-18941.036350108083,16291.716028481482,5024803.053660285,66171.66753714747,3607798.008866154,-16291716.028481482,-18941036.350108083,29184991.5,17440382.979992934,11389417.401561305,11040422.355778487,60019689.244263284,1.6954439238642804e-07,3.118712748381835e-08
23,DLC1.2-d-s1_b23,200,6.028170599999999,2.0093901999999995,4206.30448043301,75.9684416116402,-5048.411505394487,35980.2215,-16697.90547985453,21282.72547359294,5048411.505394487,75968.4416116402,4206304.4804330105,-21282725.473592937,-16697905.47985453,35980221.5,17910284.151122704,11376033.662578855,10333272.723960904,61570166.20768034,1.9445825670899054e-07,3.263577676925851e-08
24,DLC1.2-d-s1_b24,200,6.083997,2.027999,4195.507476751306,98.5213472565218,-4997.201847365552,40154.0525,-25151.76069450498,18873.19096430774,4997201.847365552,98521.34725652181,4195507.476751306,-18873190.96430774,-25151760.69450498,40154052.5,18747517.999352485,11994286.61318844,8425176.510500325,48647022.28836329,2.407070044731405e-07,4.168803977309648e-08
25,DLC1.2-d-s1_b25,200,5.970263999999999,1.9900879999999999,3958.973389642912,100.2087704690178,-5008.8822303514,33430.4355,-24088.44930523988,16247.807351989844,5008882.2303514,100208.77046901779,3958973.389642912,-16247807.351989845,-24088449.30523988,33430435.5,18309205.55102727,11775221.14048143,9220982.756600227,52962988.719836704,2.1582168110828834e-07,3.757506983843293e-08
26,DLC1.2-d-s1_b26,200,5.7467771,1.9155923666666665,3844.9822736703813,86.21796135471128,-4992.2885391450545,30515.161,-28470.22066164955,10720.090079009478,4992288.539145054,86217.96135471128,3844982.2736703814,-10720090.079009479,-28470220.66164955,30515161.0,18578590.287538934,12026387.107266398,8428447.499352543,47413935.48815663,2.272770123814402e-07,4.0401463134085465e-08
27,DLC1.2-d-s1_b27,200,6.121923450000001,2.0406411500000003,4044.8670361983923,49.925253878052075,-4993.043343615658,39813.67,-15681.389566773923,9152.0398132662,4993043.343615659,49925.25387805208,4044867.036198392,-9152039.8132662,-15681389.566773923,39813670.0,16984704.934248276,10265668.391283905,13043497.192295551,95848914.0575369,1.5644892776190063e-07,2.1290185392971996e-08
28,DLC1.2-d-s1_b28,200,6.07067875,2.0235595833333333,4306.4687997593355,68.51639612167568,-5025.422350002852,40499.8795,-10649.757660832258,10729.054862070803,5025422.350002852,68516.39612167569,4306468.799759336,-10729054.862070803,-10649757.660832258,40499879.5,16624626.71765385,9757308.096762775,14244461.197899204,115377983.54910347,1.42059398050926e-07,1.7538524431501535e-08
29,DLC1.2-d-s1_b29,201,6.015208507462686,2.01509485,4071.0565640850873,90.59649388588218,-5067.184229140546,33738.07960199005,-7459.358725878856,19732.659652935647,5067184.229140546,90596.49388588218,4071056.5640850873,-19732659.652935646,-7459358.725878856,33738079.60199005,16708805.557923675,10651898.385827493,13876188.964099212,82019096.45392558,1.4521961723161156e-07,2.4568605814037275e-08
