DLC,dt,k,ksel,nbin,ScaleFactor,scr_eps_UW,scr_eps_Sys,D30_UW,D30_DW,life_UW_yr,life_DW_yr,life_Sys_yr,t_s,contrib_UW_pct,contrib_DW_pct
DLC1.2-e-s2,20,0.32,center,30,28490.0,2.918632993874672,0.7557394615152879,0.17161990697195983,0.032913722969965545,174.8048960596486,911.4739170459575,153.66917678743727,4.5013681999989785,2.709862990389852,2.1174783192012088
DLC1.2-e-s3,20,0.3,center,30,28490.0,2.917716780614943,1.0993482136152588,0.15676258440153348,0.030120811792915154,191.3721958242131,995.9890924007708,168.19068266492476,4.341347599984147,2.4752671950637293,1.9377985889484046
DLC1.2-e-s4,20,0.32,center,30,28490.0,2.912299146345889,0.3637996659012499,0.1677666220504201,0.03148176663325705,178.8198369457775,952.9325450341238,157.65638440332978,4.079727899981663,2.649019965914761,2.025354541535889
DLC1.2-e-s5,20,0.28,center,30,28490.0,2.8618168349644297,1.4590991692942241,0.1671697254443987,0.032846350638640436,179.45833146671114,913.3434739842304,157.23896491711582,4.2573442999855615,2.639595021860859,2.1131439735841804
DLC1.2-e-s6,20,0.31,center,30,28490.0,2.9384352283753676,1.062985811225238,0.16660562247441396,0.03136373545321757,180.06595188350965,956.5187171262896,158.68805846585724,4.264448300004005,2.630687886388629,2.0177610989784673
DLC1.2-f-s1,20,0.37,center,30,18970.0,2.992715384361869,0.328782270452852,0.09415388701223389,0.020775150307758592,318.62731271096595,1444.032873677758,274.48278299743475,4.345634699973743,1.486681459730002,1.336552853500279
DLC1.2-f-s2,20,0.36,center,30,18970.0,2.9674927094582593,0.6764602574998435,0.09118185021703913,0.019363875991248326,329.01284552343844,1549.2766021409539,285.07954914421083,4.453588699980173,1.4397532643972133,1.2457596372365671
DLC1.2-f-s3,20,0.39,center,30,18970.0,2.968792325467193,0.9158966595308882,0.09872699419404705,0.022909950518790675,303.86826059988476,1309.4746745696411,259.69018153434916,4.282184900017455,1.5588904133516017,1.4738935355863367
DLC1.2-f-s4,20,0.37,center,30,18970.0,2.962988332633233,0.869016520665141,0.09440150808238447,0.02055210432424802,317.79153330706237,1459.704540551843,274.3272565066794,4.389331600046717,1.490591374293418,1.3222033666707422
DLC1.2-f-s5,20,0.36,center,30,18970.0,2.994029807476735,1.0659400805526043,0.094629793277078,0.020713476797782064,317.02489206712494,1448.3324211033614,273.4393785686485,4.552872999978717,1.4941959771117557,1.3325851370446384
DLC1.2-f-s6,20,0.4,cons,30,18970.0,3.255202584177113,0.0901047410062267,0.09598302372614718,0.02151621370194465,312.555271082042,1394.2973617746034,268.59041502276574,4.263350600027479,1.5155633649404903,1.3842285804842656
DLC1.2-g-s1,20,0.42,cons,30,11340.0,3.0857975645988627,0.06337317013782373,0.04928175194917034,0.012617524089239407,608.7445923379972,2377.6455497782545,511.6336368324249,4.366701100021601,0.7781544580982044,0.8117384267147032
DLC1.2-g-s2,20,0.41,center,30,11340.0,2.9074078980713445,0.6427618120205316,0.0500530133206639,0.01298205435067762,599.3645139365624,2310.8823295316197,502.585585637317,4.549894099996891,0.7903326062128587,0.8351901925934077
DLC1.2-g-s3,20,0.45,cons,30,11340.0,3.5456593994388053,0.08883790335241226,0.04861720620025684,0.011655494122640182,617.0654865774972,2573.893451820853,524.533425804942,4.371768399956636,0.7676613401250323,0.749846990168476
DLC1.2-g-s4,20,0.43,cons,30,11340.0,3.2415189933809194,0.00027153368053234317,0.05085941649282777,0.013043730300000647,589.8612699229576,2299.9555579586395,495.6121021826748,4.598628300009295,0.8030656402188548,0.839158065982475
DLC1.2-g-s5,20,0.44,cons,30,11340.0,3.434751831970815,0.09619548578494452,0.049087257497901576,0.012230257142683415,611.1565715661028,2452.932890127097,516.118585352151,4.527596900064964,0.7750834080980694,0.7868239141928637
DLC1.2-g-s6,20,0.43,cons,30,11340.0,3.1295378389911654,0.10732428078508427,0.05065218968756011,0.01315734946095173,592.2744936605935,2280.094489322013,496.50528030713065,4.3967425000155345,0.7997935474871922,0.846467664783537
DLC1.2-h-s1,20,0.48,cons,30,6126.0,3.6120244940591157,0.01854834696369334,0.025417009214331498,0.00793276354019738,1180.3119614515606,3781.784222860316,954.5067746837598,4.5550087000010535,0.40133230352798294,0.5103480643330991
DLC1.2-h-s2,20,0.52,cons,30,6126.0,3.9981335750489304,0.07215012070927784,0.024169171383299222,0.007101164093105376,1241.2506628477074,4224.659451135264,1016.4093376776383,4.6802909999969415,0.38162905571725436,0.45684777203605675
DLC1.2-h-s3,20,0.48,cons,30,6126.0,3.8492402183261567,0.05156543256245438,0.02433562289621666,0.0072269776597567534,1232.7607198689766,4151.1128735120155,1007.2746433694648,4.761291400005575,0.38425731022751386,0.4649418882771387
DLC1.2-h-s4,20,0.49,cons,30,6126.0,3.943448812916553,0.09448281693557714,0.024197302805292902,0.007078896060557784,1239.8076034093278,4237.94893205935,1016.1061355360597,4.393526799976826,0.38207324835593337,0.4554151757851307
DLC1.2-h-s5,20,0.49,cons,30,6126.0,4.101748920489315,0.0847519340406695,0.024421655950633087,0.007203020453799262,1228.4179279506354,4164.9194518358445,1005.1204766233161,4.356431400054134,0.38561576446645807,0.4634006203917063
DLC1.2-h-s6,20,0.51,cons,30,6126.0,4.167296119127015,0.08003374248471751,0.023727896331535884,0.00676290844689854,1264.3345866328693,4435.9612784286555,1041.577490724911,4.615457099978812,0.37466136209444395,0.4350863627344119
DLC1.2-i-s1,20,0.61,cons,30,2997.0,5.587514701742054,0.14250285888833414,0.010491836330082556,0.0035393160796904776,2859.365992393816,8476.213857289507,2273.135330085095,4.5278039000113495,0.16566515781158,0.22769909895588603
DLC1.2-i-s2,20,0.5,cons,30,2997.0,3.7000297867124052,0.11695354916857781,0.010569398150258475,0.0035637898407791632,2838.3829971687032,8418.004803964815,2256.6977667944134,4.612895000027493,0.16688985201909018,0.22927359900687966
DLC1.2-i-s3,20,0.5,cons,30,2997.0,3.8801145909467705,0.07483007699184974,0.010415101546450057,0.0035333596854640235,2880.432789464772,8490.502714291371,2286.931036175221,4.858300599968061,0.1644535224371636,0.22731589904724483
DLC1.2-i-s4,20,0.58,cons,30,2997.0,4.987394239912593,0.11699308719868817,0.010389455757939313,0.0034109110809738804,2887.5429761635874,8795.304036901023,2309.5894321474043,4.859193000011146,0.1640485777289953,0.21943826498375946
DLC1.2-i-s5,20,0.57,cons,30,2997.0,4.420123817252124,0.020826230544839675,0.010973454308693674,0.0037702135026484547,2733.8702250058695,7957.109054679783,2164.2593346162857,4.714310199953616,0.17326986264315805,0.24255370192860648
DLC1.2-i-s6,20,0.58,cons,30,2997.0,4.033132224842792,0.011430746471172704,0.010280690479503703,0.003462353704866145,2918.091937483195,8664.626019530204,2320.694101887819,4.5809786999598145,0.1623311837047679,0.2227477854799395
DLC1.2-j-s1,20,0.6,cons,30,1332.0,6.351103874807762,0.17504249055578924,0.004347793876142047,0.0017498871360578287,6900.0511189412855,17143.962820130466,5252.6542628337165,4.795928200008348,0.06865127666527616,0.11257760402956406
DLC1.2-j-s2,20,0.62,cons,30,1332.0,3.608601959443205,0.0268139069822384,0.004390212941394596,0.0017553127785022615,6833.381523965485,17090.971117750196,5210.976731059093,4.7082236999995075,0.06932106991387406,0.11292665844234828
DLC1.2-j-s3,20,0.61,cons,30,1332.0,5.030252767527778,0.04288775658181532,0.004357031324633391,0.0017254808251574696,6885.422152094409,17386.458060037938,5263.81141043439,4.845571399957407,0.06879713515124083,0.11100744333305598
DLC1.2-j-s4,20,0.59,cons,30,1332.0,5.000877106198179,0.038579912445060316,0.00432395033484817,0.0016895570196117737,6938.1000420425535,17756.133502314944,5322.569253311517,4.824024099914823,0.0682747892795636,0.10869631373353833
DLC1.2-j-s5,20,0.61,cons,30,1332.0,3.3254872823169537,0.04984965897808191,0.004337679372055468,0.0017839952157288896,6916.140504360076,16816.188594846008,5234.6196151050235,4.627922099956777,0.06849156954986067,0.11477192034191083
DLC1.2-j-s6,20,0.64,cons,30,1332.0,4.981248250758497,0.10538564659302452,0.004061762077929247,0.0015939806682921506,7385.956987242958,18820.805419267163,5659.822718281821,4.8398341000429355,0.0641348601392017,0.10254748481095378
DLC1.2-k-s1,20,0.65,center,30,538.2,2.844330311110797,1.0114825162733485,0.0016047276547022566,0.0008394386894975756,18694.761015735246,35738.166914793655,13174.967970985748,4.898449800035451,0.02533850622494072,0.05400462375319228
DLC1.2-k-s2,20,0.67,center,30,538.2,1.8828394179817605,1.6067384179053672,0.0014460469841782234,0.0007563828090871257,20746.21387011761,39662.45615260193,14621.022400141017,4.611670599959325,0.022832952621455897,0.0486612894177912
DLC1.2-k-s3,20,0.66,center,30,538.2,2.9852936544589292,1.543972945351482,0.001593612924006555,0.0008484234881874579,18825.148533921278,35359.699982011276,13190.59827456893,4.759850699978415,0.025163005620775065,0.0545826536662949
DLC1.2-k-s4,20,0.62,center,30,538.2,2.894024042111254,1.2916990013997212,0.001742188651212127,0.0009270809476220915,17219.719563164133,32359.633834508462,12067.589520562751,4.859912599960808,0.027509003072518353,0.059643019069147415
DLC1.2-k-s5,20,0.51,center,30,538.2,0.25238228270704277,1.4702885068976908,0.0015584534880272558,0.0008394068631121327,19249.852645891304,35739.52193906763,13436.345917625702,4.685501699976157,0.02460784126948072,0.05400257622787235
DLC1.2-k-s6,20,0.61,center,30,538.2,2.814539650415048,0.3467532688294801,0.0015752643538067517,0.0008223924299803233,19044.42256152284,36478.935002742895,13430.053911721467,4.6266268999897875,0.02487328333745545,0.05290796613763792
DLC2.4.1-a-s1,20,0.43,center,3,50.0,2.4182445166523543,1.4950944332369756,2.4018984974690558e-05,1.0922833497506411e-05,1249011.980798181,2746540.0810923963,919078.706660854,0.6226654999773018,0.00037925762575013127,0.0007027118486814786
DLC2.4.1-a-s2,20,0.5,center,3,50.0,2.888262510191386,1.0817540570180917,2.815330425238886e-05,1.218711832568921e-05,1065594.2809077,2461615.551624131,795250.8571437587,0.5251216000178829,0.00044453815758796993,0.0007840486125417993
DLC2.4.1-a-s3,20,0.43,center,3,50.0,2.9347454407790594,0.8694905400251907,3.0359282301775725e-05,1.3067851757126056e-05,988165.6523298408,2295710.156310936,738635.5316656099,0.5086597999907099,0.00047937035380063046,0.0008407099008368062
DLC2.4.1-a-s4,20,0.52,center,3,50.0,2.956820554792441,0.6097505857899677,2.8864279385483427e-05,1.2095725123092033e-05,1039346.9242501773,2480215.0920846234,782665.8627654978,0.48340470000403,0.0004557643913871483,0.0007781689031817103
DLC2.4.1-a-s5,20,0.53,center,3,50.0,2.915136440226886,1.148027344280674,2.8651220317028036e-05,1.225153415605315e-05,1047075.8197398788,2448672.9268250717,784109.1229635405,0.4787933999905363,0.00045240020774108366,0.0007881927540092793
DLC2.4.1-a-s6,20,0.38,center,3,50.0,2.5808995318626895,1.543820662171905,2.5219480333050787e-05,1.0743597823777392e-05,1189556.6285988938,2792360.6683791666,891736.5087794098,0.5471504000015557,0.00039821334014919984,0.0006911808634600576
DLC2.4.1-b-s1,20,0.78,cons,3,50.0,4.211882703014945,0.12227844906314056,2.3629881171437975e-05,1.0928615364827551e-05,1269578.9615845275,2745087.003112163,929596.1872966219,0.5337441999581642,0.0003731137114778412,0.0007030838205397878
DLC2.4.1-b-s2,20,0.84,cons,3,50.0,3.4339069629544126,0.10882810320455505,1.6674902478124417e-05,9.527593742571223e-06,1799110.9716747429,3148748.86677356,1230809.9866627022,0.5010234999936074,0.00026329521959950853,0.0006129502032468733
DLC2.4.1-b-s3,20,0.61,cons,3,50.0,4.11646427138772,0.041776337584727985,2.4230544517448536e-05,1.1144576232208171e-05,1238106.7201521967,2691892.394553242,908033.6499144495,0.49782410002080724,0.0003825981320194728,0.0007169774920302977
DLC2.4.1-b-s4,20,0.72,cons,3,50.0,3.8379823788650236,0.047854416832993074,2.0208238622241978e-05,9.209313083078915e-06,1484543.0401331873,3257571.952366529,1091718.6513895416,0.5153049000073224,0.00031908628147856756,0.0005924738689072115
DLC2.4.1-b-s5,20,0.7,cons,3,50.0,5.350229780435823,0.1485490779703517,3.0871998014562326e-05,1.591499178655593e-05,971754.4029981148,1885015.1104282865,688081.4404372579,0.4614039000007324,0.00048746608907508654,0.0010238784013904816
DLC2.4.1-b-s6,20,0.6,cons,3,50.0,3.5558882233364204,0.06264915651859493,2.322251600328325e-05,1.13231165725045e-05,1291849.6856997982,2649447.2443079744,930924.5170238443,0.5569646999938414,0.0003666814518860866,0.0007284637435256166
DLC2.4.2-a-s1,20,0.32,cons,15,25.0,3.2388779678277912,0.013952385252371524,6.554524923085145e-05,1.3918633984736438e-05,457699.0758603954,2155383.928688608,396586.09962799755,2.1945908999769017,0.00103495362642041,0.0008954443021371575
DLC2.4.2-a-s2,20,0.24,center,15,25.0,2.431284369788413,1.474518320392693,4.191331082226494e-05,1.1580502585607872e-05,715763.0693317498,2590561.141731766,593207.189677536,2.2604570999974385,0.0006618074313518852,0.0007450224689821491
DLC2.4.2-a-s3,20,0.3,center,15,25.0,2.993347096593027,1.031316853981215,4.490228273454308e-05,1.2056443723393115e-05,668117.4802928485,2488295.9426742904,556705.6738340899,2.290119000012055,0.0007090030306696303,0.0007756417654195604
DLC2.4.2-a-s4,20,0.25,center,15,25.0,2.3845984295099143,1.5070587524496069,3.87697112301133e-05,1.1137801099488871e-05,773799.9342305736,2693529.874705407,636477.9840453309,2.2923926999792457,0.0006121702747907398,0.0007165416192286726
