DLC,k,dt_s,eps_UW_pct,eps_DW_pct,eps_Sys_pct
DLC1.2-a-s2,2.8,20.0,122.84834109022383,211.68974695713706,135.2438020119995
DLC1.2-a-s2,2.85,20.0,126.06390580412938,218.06683254320754,138.904883193584
DLC1.2-a-s2,2.9,20.0,129.31939845222894,224.5536395281395,142.61591862083512
DLC1.2-a-s2,2.95,20.0,132.61518643117878,231.1515575408652,146.3774261935522
DLC1.2-a-s2,3.0,20.0,135.95163898899023,237.86198578440514,150.18992683590287
DLC1.2-a-s3,0.0,20.0,-4.2097533286605815,-9.029515907432717,-4.886416124488157
DLC1.2-a-s3,0.05,20.0,-2.6130343170114867,-6.761445072396855,-3.1956939788965744
DLC1.2-a-s3,0.1,20.0,-0.9920563254690262,-4.431103079505682,-1.4752932910420014
DLC1.2-a-s3,0.15,20.0,0.6534589980955241,-2.048460438573485,0.27363458113840444
DLC1.2-a-s3,0.2,20.0,2.3237918908189936,0.3873851121377614,2.0514621821753787
DLC1.2-a-s3,0.25,20.0,4.019224473205796,2.877345213762861,3.858565102831113
DLC1.2-a-s3,0.3,20.0,5.740040747457642,5.42234088627167,5.695321978900814
DLC1.2-a-s3,0.35,20.0,7.486526595772625,8.02443106675006,7.562273451478041
DLC1.2-a-s3,0.4,20.0,9.258969778616066,10.690171299904417,9.460596344097327
DLC1.2-a-s3,0.45,20.0,11.057659932962881,13.414159488271427,11.389784705744542
DLC1.2-a-s3,0.5,20.0,12.882888570512584,16.197365158155307,13.350231017609548
DLC1.2-a-s3,0.55,20.0,14.734949075877669,19.040767359155918,15.342330823507888
DLC1.2-a-s3,0.6,20.0,16.614136704745807,21.94535466089007,17.366482728046172
DLC1.2-a-s3,0.65,20.0,18.520748582017156,24.912125149321305,19.423088394691888
DLC1.2-a-s3,0.7,20.0,20.455083699916443,27.942086422707746,21.512552543749663
DLC1.2-a-s3,0.75,20.0,22.417442916081743,31.03625558718146,23.63528295024775
DLC1.2-a-s3,0.8,20.0,24.408128951629514,34.195659251968216,25.791690441736304
DLC1.2-a-s3,0.85,20.0,26.427446389197563,37.421333524259715,27.982188896001503
DLC1.2-a-s3,0.9,20.0,28.475701670965336,40.714324003748146,30.207195238696528
DLC1.2-a-s3,0.95,20.0,30.553203096653746,44.07568577683296,32.46712944089343
DLC1.2-a-s3,1.0,20.0,32.66026082150337,47.506483410511,34.762414516556774
DLC1.2-a-s3,1.05,20.0,34.79718685423347,51.007790945958334,37.09347651994366
DLC1.2-a-s3,1.1,20.0,36.9642950549806,54.580691891814446,39.460744542929824
DLC1.2-a-s3,1.15,20.0,39.16190113321909,58.22627921717749,41.86465071226677
DLC1.2-a-s3,1.2,20.0,41.390322645662806,61.94565534432004,44.30563018677047
DLC1.2-a-s3,1.25,20.0,43.649878994149226,65.73993214113376,46.784121154444215
DLC1.2-a-s3,1.3,20.0,45.94089142350588,69.6102309133127,49.30056482953831
DLC1.2-a-s3,1.35,20.0,48.26368301940109,73.55768239628185,51.855405449548364
DLC1.2-a-s3,1.4,20.0,50.61857870617745,77.58342674688134,54.44909027215403
DLC1.2-a-s3,1.45,20.0,53.005905244670906,81.68861353481293,57.08206957210129
DLC1.2-a-s3,1.5,20.0,55.425991230013,85.8744017338571,59.754796638027585
DLC1.2-a-s3,1.55,20.0,57.879167089420605,90.14195971286796,62.46772776923617
DLC1.2-a-s3,1.6,20.0,60.36576507996985,94.49246522655447,65.22132227241674
DLC1.2-a-s3,1.65,20.0,62.886119286357435,98.92710540605427,68.01604245831794
DLC1.2-a-s3,1.7,20.0,65.44056561864818,103.44707674930791,70.85235363837062
DLC1.2-a-s3,1.75,20.0,68.02944181001027,108.05358511123902,73.73072412126645
DLC1.2-a-s3,1.8,20.0,70.65308741443828,112.74784569374985,76.65162520949113
DLC1.2-a-s3,1.85,20.0,73.31184380446408,117.53108303553597,79.61553119581508
DLC1.2-a-s3,1.9,20.0,76.0060541688566,122.40453100172721,82.622919359743
DLC1.2-a-s3,1.95,20.0,78.73606351031097,127.36943277336343,85.674269963924
DLC1.2-a-s3,2.0,20.0,81.50221864312653,132.42704083670688,88.77006625052337
DLC1.2-a-s3,2.05,20.0,84.30486819087521,137.57861697240097,91.91079443755805
DLC1.2-a-s3,2.1,20.0,87.14436258406036,142.82543224448037,95.09694371519703
DLC1.2-a-s3,2.15,20.0,90.02105405776545,148.1687669892346,98.32900624202756
DLC1.2-a-s3,2.2,20.0,92.93529664929521,153.60991080393606,101.60747714128972
DLC1.2-a-s3,2.25,20.0,95.88744619580677,159.15016253543376,104.9328544970796
DLC1.2-a-s3,2.3,20.0,98.87786033193382,164.7908302686195,108.30563935052257
DLC1.2-a-s3,2.35,20.0,101.90689848740244,170.5332313147712,111.726335695919
DLC1.2-a-s3,2.4,20.0,104.97492188463933,176.37869219977787,115.19545047686144
DLC1.2-a-s3,2.45,20.0,108.08229353637344,182.32854865225227,118.71349358232699
DLC1.2-a-s3,2.5,20.0,111.22937824323023,188.3841455915344,122.28097784274414
DLC1.2-a-s3,2.55,20.0,114.41654259132021,194.54683711559028,125.8984190260365
DLC1.2-a-s3,2.6,20.0,117.64415494982083,200.81798648881283,129.56633583364288
DLC1.2-a-s3,2.65,20.0,120.91258546855275,207.1989661297256,133.28524989651714
DLC1.2-a-s3,2.7,20.0,124.22220607555055,213.69115759859523,137.055685771106
DLC1.2-a-s3,2.75,20.0,127.57339047462861,220.29595158495803,140.87817093530936
DLC1.2-a-s3,2.8,20.0,130.96651414294143,227.0147478950616,144.75323578441945
DLC1.2-a-s3,2.85,20.0,134.4019543285406,233.84895543922798,148.68141362704557
DLC1.2-a-s3,2.9,20.0,137.88009004792534,240.79999221913883,152.66324068101827
DLC1.2-a-s3,2.95,20.0,141.40130208359176,247.86928531505214,156.69925606928223
DLC1.2-a-s3,3.0,20.0,144.96597298157582,255.05827087294514,160.79000181577032
DLC1.2-a-s4,0.0,20.0,-3.720072332064861,-8.072210872707997,-4.327783226682502
DLC1.2-a-s4,0.05,20.0,-2.272991241287159,-6.00919190609186,-2.794897538511587
DLC1.2-a-s4,0.1,20.0,-0.8046170884546178,-3.8973155636117696,-1.2368013941000844
DLC1.2-a-s4,0.15,20.0,0.68529341043293,-1.7372524285716007,0.34662624663661656
DLC1.2-a-s4,0.2,20.0,2.1969852539138524,0.47529439035693954,1.956201436264271
DLC1.2-a-s4,0.25,20.0,3.7307051536437097,2.735832244089975,3.5915142639385778
DLC1.2-a-s4,0.3,20.0,5.2867015329429945,5.045176996237233,5.252896951028485
DLC1.2-a-s4,0.35,20.0,6.865224525313485,7.404153087464427,6.940684492187188
DLC1.2-a-s4,0.4,20.0,8.466525972923966,9.81861866641076,8.655919010058621
DLC1.2-a-s4,0.45,20.0,10.090859425067112,12.285590395031342,10.398406153693141
DLC1.2-a-s4,0.5,20.0,11.738480136587338,14.80500102517366,12.168360828874935
DLC1.2-a-s4,0.55,20.0,13.409645066280952,17.37771640667205,13.96613019749755
DLC1.2-a-s4,0.6,20.0,15.104612875268963,20.0046110446215,15.792064202388145
DLC1.2-a-s4,0.65,20.0,16.823643925343724,22.686568096211012,17.64651556561909
DLC1.2-a-s4,0.7,20.0,18.56700027728988,25.424479367192966,19.529839786725756
DLC1.2-a-s4,0.75,20.0,20.334945689180618,28.219245307999397,21.442395140833636
DLC1.2-a-s4,0.8,20.0,22.127745614649143,31.07177500951719,23.384542676696984
DLC1.2-a-s4,0.85,20.0,23.945667201137333,33.982986198530995,25.35664621465248
DLC1.2-a-s4,0.9,20.0,25.788979288121382,36.95380523284633,27.35907234449062
DLC1.2-a-s4,0.95,20.0,27.657952405314923,39.985167096101826,29.392190423246678
DLC1.2-a-s4,1.0,20.0,29.552858770851476,43.078015392281,31.456372572915402
DLC1.2-a-s4,1.05,20.0,31.473972289445395,46.233302339932706,33.55199367809008
DLC1.2-a-s4,1.1,20.0,33.42156855053289,49.45198876611101,35.67943138353016
DLC1.2-a-s4,1.15,20.0,35.39592482639355,52.73504410004146,37.83906609165897
DLC1.2-a-s4,1.2,20.0,37.397320070253116,56.08344636652558,40.03128095999453
DLC1.2-a-s4,1.25,20.0,39.42603491436718,59.498182179089284,42.256461898514615
DLC1.2-a-s4,1.3,20.0,41.482351668088135,62.98024673288636,44.51499756696003
DLC1.2-a-s4,1.35,20.0,43.56655431591432,66.53064379736333,46.80727937207705
DLC1.2-a-s4,1.4,20.0,45.67892851552271,70.15038570869503,49.133701464801916
DLC1.2-a-s4,1.45,20.0,47.81976159578545,73.84049336199796,51.4946607373884
DLC1.2-a-s4,1.5,20.0,49.98934255477139,77.6019962033295,53.890556820482786
DLC1.2-a-s4,1.55,20.0,52.18796205773166,81.43593222148012,56.32179208014503
DLC1.2-a-s4,1.6,20.0,54.41591243507202,85.34334793956586,58.788771614821236
DLC1.2-a-s4,1.65,20.0,56.67348768031002,89.32529840642852,61.29190325226703
DLC1.2-a-s4,1.7,20.0,58.96098344801999,93.38284718784952,63.831597546425556
