DLC,ScaleFactor,rpm_mean,rpm_CV_pct,T3P_s,dt_rule_max_s,n_rpm_lt1,n_kappa_clip,valid,D30_UW_scr,D30_DW_scr,life_UW_scr_yr,life_DW_scr_yr,life_Sys_scr_yr,best_dt_s,best_k,eps_UW_at_best,eps_DW_at_best,eps_Sys_at_best,kappa_min,kappa_max
DLC1.2-d-s3,38180.0,5.765987935344109,6.287072948571727,3.4686163454149543,0.7753909521180579,0,0,1,1.0304919397003485,0.26770884618031726,29.112309222645205,112.06204213286729,24.40444125350274,20,0.24,2.6618958299433255,-3.696065186558357,1.5212438472024679,1.352598944357717,1.7743875151070845
DLC1.2-d-s4,38180.0,5.750108408598566,8.056395534181823,3.478195292821351,0.7537544509200327,0,0,1,1.0211866940024708,0.2680401116414075,29.377586073333045,111.9235468762039,24.580953594856446,20,0.26,2.96020494448357,-4.9655338074790585,1.5258565295449409,1.2995405163937352,1.81656051343564
DLC1.2-d-s5,38180.0,5.843508616897183,5.615863628893261,3.4226012676986013,0.7840923347133358,0,0,1,1.1494625595070562,0.3340399050865419,26.099153688716417,89.80962915861116,21.41855230940193,20,0.27,2.8294163069336244,-3.944214201003418,1.4836090148223182,1.3962830842609786,1.7580284352789706
DLC1.2-d-s6,38180.0,5.753196753874354,6.993062604517587,3.4763281798995442,0.7897683925212092,0,0,1,1.0274512213321991,0.27311028564820644,29.198466435323155,109.84573476900472,24.374777870635466,20,0.26,2.7742586052439275,-4.343043575000696,1.4706370559382478,1.3990003822310346,1.7475350161009626
DLC1.2-e-s1,28490.0,6.138866092317947,4.376163488826429,3.257930650259271,0.7292499226995083,0,0,1,0.8575789307496179,0.24850472226650974,34.982202715471,120.72205198509829,28.724886990920176,20,0.29,2.9853831911672093,-7.210960497365125,0.9683004016334724,1.5561818426061604,1.8670814879773787
DLC1.2-e-s2,28490.0,6.079779245125812,4.082083797373611,3.289593123966482,0.7303812297866995,0,0,1,0.8533285031336009,0.2486509762158451,35.1564489992233,120.65104451453296,28.83600358968594,20,0.31,2.9112271505901437,-7.097376399828452,0.9211435307955375,1.5515398051505287,1.8646808344850885
DLC1.2-e-s3,28490.0,6.068407665389102,5.280661389602906,3.2957574874326796,0.7416802023303591,0,0,1,0.645227931068923,0.16627397745415615,46.49519736428678,180.42510595665146,39.032755011838596,20,0.29,2.9855875116390065,-6.337435136297561,1.3280094405831702,1.4782516834099884,1.8410722340728538
DLC1.2-e-s4,28490.0,6.156947268788536,4.072902284338941,3.2483630485819113,0.746801449392253,0,0,1,0.7711821474526477,0.21588648507494532,38.901315466255745,138.96191783188954,32.159601111801805,20,0.3,2.990362900651267,-9.101353711422535,0.6743114603440801,1.5428888225582482,1.8305871178370823
DLC1.2-e-s5,28490.0,6.135921713047825,3.778612389180702,3.2594939986719016,0.7356630310199673,0,0,1,0.7960092486612488,0.23756645478697147,37.68800431710418,126.28045498637988,30.76335215980587,20,0.27,2.817122746808014,-3.493845099331291,1.532559725375421,1.539938690384497,1.853562200815282
DLC1.2-e-s6,28490.0,6.135519321779704,3.683700754349827,3.25970776899105,0.7201446050366913,0,0,1,0.769555180647707,0.211953734982069,38.98355927478791,141.5403224790446,32.328082032057715,20,0.3,2.9289172453748673,-6.214354508578902,1.2006609686093093,1.5520750281908027,1.88665424700109
