design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_DW,eps_Sys
a55,DLC1.2-i-s2,0.46,min_pos,30,2997.0,3.0934,-29.9895,0.9733
a55,DLC1.2-i-s3,0.46,min_pos,30,2997.0,3.1005,-32.5745,1.0074
a55,DLC1.2-i-s4,0.53,min_pos,30,2997.0,3.7622,-36.8766,1.1097
a55,DLC1.2-i-s5,0.54,min_pos,30,2997.0,4.4336,-26.1595,1.0862
a55,DLC1.2-i-s6,0.55,min_pos,30,2997.0,3.6168,-32.7613,1.1419
a55,DLC1.2-j-s1,0.56,min_pos,30,1332.0,6.4524,-34.5555,1.6929
a55,DLC1.2-j-s2,0.6,min_pos,30,1332.0,3.8583,-19.1021,1.5991
a55,DLC1.2-j-s3,0.58,min_pos,30,1332.0,4.6017,-33.2035,1.2036
a55,DLC1.2-j-s4,0.56,min_pos,30,1332.0,4.7896,-33.1854,1.7155
a55,DLC1.2-j-s5,0.6,min_pos,30,1332.0,4.4301,-18.2556,1.6385
a55,DLC1.2-j-s6,0.61,center,30,1332.0,2.7672,-40.2554,0.2033
a55,DLC1.2-k-s1,0.66,min_pos,30,538.2,3.4744,-7.4992,1.6681
a55,DLC1.2-k-s2,0.7,center,30,538.2,2.2293,1.6285,2.1386
a55,DLC1.2-k-s3,0.67,center,30,538.2,2.143,-5.5136,0.7916
a55,DLC1.2-k-s4,0.64,min_pos,30,538.2,3.5022,-7.9879,1.4098
a55,DLC1.2-k-s5,0.52,min_pos,30,538.2,-0.8257,7.0398,1.4246
a55,DLC1.2-k-s6,0.62,min_pos,30,538.2,4.6014,-10.7573,1.5338
a55,DLC2.4.1-a-s1,0.3,center,3,50.0,2.7326,-6.3132,0.8968
a55,DLC2.4.1-a-s2,0.36,center,3,50.0,2.2067,-7.6095,0.2332
a55,DLC2.4.1-a-s3,0.33,min_pos,3,50.0,3.0855,-7.9709,0.8397
a55,DLC2.4.1-a-s4,0.43,center,3,50.0,2.7928,-9.6784,0.1918
a55,DLC2.4.1-a-s5,0.43,center,3,50.0,2.8519,-3.632,1.5467
a55,DLC2.4.1-a-s6,0.23,center,3,50.0,2.4401,-4.2567,1.1848
a55,DLC2.4.1-b-s1,0.9,min_pos,3,50.0,4.3884,-16.8909,0.2188
a55,DLC2.4.1-b-s2,0.94,center,3,50.0,2.4685,-7.2156,0.5775
a55,DLC2.4.1-b-s3,0.77,min_pos,3,50.0,6.6919,-21.3729,1.3064
