rank,stage,k_L,k_R,delta_mm,f_L,f_R,sigma_MPa,end_L_MPa,end_L_pct,margin_L_pct,margin_L_lam,end_R_MPa,end_R_pct,margin_R_pct,margin_R_lam,y_star_pct,s1,s2,s3,s4,score,feasible
1,U1,1.5,0.5,40,0.0,0.0,2045.3,1421.7,69.51,8.007,1.521,718.4,35.12,7.493,1.424,47.11,0.2845,0.4747,0.6561,0.3049,0.94062,1
1,U1,1.5,0.6,0,0.0,0.0,2083.0,1491.9,71.62,7.671,1.457,523.3,25.12,9.666,1.837,47.9,0.2725,0.4857,0.535,0.2838,0.80748,1
1,U1,1.5,0.6,10,0.0,0.0,2074.9,1475.1,71.09,7.741,1.471,551.5,26.58,9.427,1.791,47.79,0.2741,0.4903,0.5549,0.2891,0.82902,1
1,U1,1.5,0.6,20,0.0,0.0,2067.0,1458.4,70.56,7.807,1.483,580.0,28.06,9.182,1.745,47.68,0.2758,0.4943,0.575,0.2944,0.85086,1
1,U1,1.5,0.6,30,0.0,0.0,2059.2,1442.4,70.05,7.871,1.496,608.4,29.55,8.935,1.698,47.57,0.2775,0.4987,0.595,0.2995,0.87248,1
1,U1,1.5,0.6,40,0.0,0.0,2051.7,1427.0,69.55,7.932,1.507,640.5,31.22,8.73,1.659,47.47,0.279,0.5023,0.6167,0.3045,0.89567,1
1,U1,1.5,0.8,0,0.0,0.0,2096.6,1499.0,71.5,7.516,1.428,393.9,18.79,12.692,2.412,48.75,0.2596,0.476,0.4729,0.285,0.73248,1
1,U1,1.5,0.8,10,0.0,0.0,2087.9,1482.4,71.0,7.591,1.442,426.0,20.4,12.349,2.346,48.61,0.2617,0.4807,0.494,0.29,0.75573,1
1,U1,1.5,0.8,20,0.0,0.0,2079.3,1466.6,70.54,7.663,1.456,457.9,22.02,11.997,2.279,48.47,0.2638,0.4853,0.5149,0.2947,0.77871,1
1,U1,1.5,0.8,30,0.0,0.0,2071.0,1451.4,70.08,7.733,1.469,491.5,23.73,11.663,2.216,48.34,0.2658,0.4897,0.5365,0.2992,0.8023,1
1,U1,1.5,0.8,40,0.0,0.0,2062.9,1435.8,69.6,7.799,1.482,523.5,25.38,11.334,2.154,48.21,0.2678,0.494,0.5578,0.304,0.82553,1
1,U1,2.0,0.3,0,0.0,0.0,2074.8,1245.6,60.03,10.659,2.025,913.1,44.01,5.193,0.987,39.57,,,,,,0
1,U1,2.0,0.3,40,0.0,0.0,2046.9,1175.0,57.4,11.174,2.123,1008.5,49.27,4.969,0.944,34.17,,,,,,0
1,U1,2.0,0.4,0,0.0,0.0,2084.9,1252.2,60.06,10.533,2.001,801.5,38.44,6.355,1.207,39.98,0.3928,0.4023,0.7838,0.3994,1.1766,1
1,U1,2.0,0.4,10,0.0,0.0,2077.0,1233.7,59.4,10.673,2.028,828.8,39.9,6.236,1.185,39.84,0.3949,0.395,0.8051,0.406,1.19995,1
1,U1,2.0,0.4,20,0.0,0.0,2069.1,1216.8,58.81,10.789,2.05,851.5,41.15,6.134,1.165,39.73,0.3966,0.3883,0.8234,0.4119,1.22002,1
1,U1,2.0,0.4,30,0.0,0.0,2062.0,1197.9,58.09,10.915,2.074,878.5,42.61,6.01,1.142,34.66,0.4736,0.3807,0.8451,0.4191,1.31867,1
1,U1,2.0,0.4,40,0.0,0.0,2055.3,1181.3,57.48,11.05,2.1,906.5,44.11,5.908,1.123,34.53,0.4755,0.3743,0.8663,0.4252,1.34184,1
1,U1,2.0,0.5,0,0.0,0.0,2093.8,1258.5,60.11,10.416,1.979,694.8,33.18,7.503,1.425,40.37,0.3868,0.475,0.7308,0.3989,1.11762,1
1,U1,2.0,0.5,10,0.0,0.0,2085.6,1239.2,59.42,10.56,2.006,724.4,34.73,7.33,1.393,40.22,0.3891,0.4643,0.7532,0.4058,1.14229,1
1,U1,2.0,0.5,20,0.0,0.0,2077.3,1221.4,58.8,10.697,2.033,753.6,36.28,7.153,1.359,40.07,0.3914,0.453,0.7748,0.412,1.16621,1
1,U1,2.0,0.5,30,0.0,0.0,2070.1,1205.0,58.21,10.811,2.054,778.4,37.6,7.0,1.33,35.02,0.4681,0.4433,0.7939,0.4179,1.26203,1
1,U1,2.0,0.5,40,0.0,0.0,2063.0,1186.7,57.52,10.936,2.078,809.8,39.25,6.858,1.303,34.9,0.4699,0.4343,0.8173,0.4248,1.28723,1
1,U1,2.0,0.6,0,0.0,0.0,2102.0,1263.3,60.1,10.302,1.957,606.3,28.85,8.808,1.674,40.81,,,,,,0
1,U1,2.0,0.6,10,0.0,0.0,2093.4,1243.6,59.4,10.45,1.986,637.7,30.46,8.592,1.632,40.64,0.3827,0.544,0.7106,0.4059,1.09331,1
1,U1,2.0,0.6,20,0.0,0.0,2085.1,1225.2,58.76,10.591,2.012,668.6,32.07,8.371,1.59,35.59,0.4594,0.53,0.7331,0.4124,1.19251,1
1,U1,2.0,0.6,30,0.0,0.0,2077.5,1208.1,58.15,10.726,2.038,699.7,33.68,8.144,1.547,35.42,0.462,0.5157,0.7553,0.4185,1.21731,1
1,U1,2.0,0.6,40,0.0,0.0,2070.0,1192.1,57.59,10.837,2.059,726.5,35.1,7.943,1.509,35.29,0.464,0.503,0.7751,0.4241,1.23908,1
1,U1,2.0,0.8,0,0.0,0.0,2116.2,1269.9,60.01,10.088,1.917,472.6,22.33,11.62,2.208,41.73,,,,,,0
1,U1,2.0,0.8,10,0.0,0.0,2107.1,1250.0,59.32,10.244,1.946,505.7,24.0,11.282,2.144,36.7,,,,,,0
1,U1,2.0,0.8,20,0.0,0.0,2098.8,1230.9,58.65,10.394,1.975,538.9,25.68,10.935,2.078,36.49,,,,,,0
1,U1,2.0,0.8,30,0.0,0.0,2090.6,1213.0,58.02,10.535,2.002,573.0,27.41,10.615,2.017,36.29,0.4488,0.6673,0.6939,0.4198,1.14268,1
1,U1,2.0,0.8,40,0.0,0.0,2082.5,1196.4,57.45,10.671,2.027,606.9,29.14,10.301,1.957,36.1,0.4517,0.6523,0.7169,0.4255,1.16863,1
1,U1,2.5,0.3,0,0.0,0.0,2096.6,1090.5,52.01,13.582,2.581,977.0,46.6,4.906,0.932,32.45,,,,,,0
1,U1,2.5,0.3,10,0.0,0.0,2089.6,1068.7,51.14,13.794,2.621,1005.5,48.12,4.9,0.931,32.3,,,,,,0
1,U1,2.5,0.3,20,0.0,0.0,2082.1,1046.8,50.27,14.007,2.661,232.2,11.15,-0.0,-0.0,32.15,,,,,,0
1,U1,2.5,0.3,30,0.0,0.0,2075.0,1027.2,49.5,14.221,2.702,349.8,16.86,-0.0,-0.0,27.11,,,,,,0
1,U1,2.5,0.3,40,0.0,0.0,2068.5,1008.5,48.75,14.424,2.741,438.8,21.21,0.0,0.0,26.97,,,,,,0
1,U1,2.5,0.4,0,0.0,0.0,2107.2,1096.6,52.04,13.427,2.551,866.3,41.11,5.966,1.134,32.88,,,,,,0
1,U1,2.5,0.4,10,0.0,0.0,2099.6,1075.5,51.23,13.646,2.593,895.5,42.65,5.846,1.111,32.69,,,,,,0
1,U1,2.5,0.4,20,0.0,0.0,2091.9,1053.9,50.38,13.852,2.632,925.8,44.25,5.755,1.093,32.52,0.5061,0.3643,0.9388,0.4962,1.44484,1
1,U1,2.5,0.4,30,0.0,0.0,2085.2,1034.1,49.59,14.07,2.673,955.2,45.81,5.669,1.077,27.47,0.5828,0.359,0.9622,0.5041,1.54494,1
