DLC,dt,k,nbin,D30_ref_UW,D30_ref_DW,D30_scr_UW,D30_scr_DW,eps_UW,eps_DW,eps_Sys,life_ref_UW,life_scr_UW,t_s
DLC1.2-k-s2,20.0,0.65,30,0.0007652873593390042,0.0006631786152405966,0.0007206965886491542,0.0007510867242654166,-5.826670223373876,13.255570521212846,3.0022671744989404,39200.96109507371,41626.39378692057,6.6333788999472745
DLC1.2-k-s3,20.0,0.64,30,0.0011049417650229431,0.0009892536013143354,0.0010627436221571998,0.00108449704923039,-3.8190377268314313,9.627809066301385,2.5140653938841018,27150.752147899013,28228.821490459562,6.291658200032543
DLC1.2-k-s4,20.0,0.61,30,0.0017092169272022164,0.0013681826332043803,0.0016613576050520666,0.0014450852561972369,-2.8000730269205687,5.620786372119424,0.8967901292587399,17551.897317742114,18057.521095261007,6.334631300007459
DLC1.2-k-s5,20.0,0.51,30,0.0011502175601712618,0.0013417506762583666,0.0010916659522267442,0.0014270125833764327,-5.090481137829228,6.354526860074272,1.1467295430619862,26082.022252845058,27480.934015398198,6.254542299953755
DLC1.2-k-s6,20.0,0.59,30,0.0010122721682982389,0.0010044204051254245,0.0010074853314645696,0.001045646141631676,-0.4728804153251165,4.104430405424053,1.8089661791153455,29636.29835880394,29777.10847302298,8.153450599987991
DLC2.4.1-a-s3,20.0,0.43,3,8.336489985103049e-05,1.8988040467298873e-05,8.51992063782282e-05,1.7997876773150407e-05,2.2003343499188865,-5.2146702333699,1.024638588901139,359863.68427969946,352115.95594939956,0.8527571000158787
DLC2.4.1-b-s5,1.0,0.3,60,0.00010573737534595523,3.347183113347075e-05,0.00010873782480935885,3.2637278934667254e-05,2.837643220844699,-2.4932971114597025,1.693558181344601,283721.8145603194,275892.9567755889,11.201842200011015
DLC2.4.2-a-s1,10.0,0.29,30,9.10336914459261e-05,2.682921778828021e-05,9.333245453557871e-05,2.497947586827211e-05,2.5251783742265,-6.894505589410516,0.6323661555976523,329548.319127759,321431.59792892705,7.023687099979725
DLC2.4.2-a-s5,20.0,0.28,15,6.233468527545294e-05,1.4208689218088077e-05,6.462945300552074e-05,1.290759402389e-05,3.6813657114451948,-9.157038867045841,1.6502298600912235,481272.98417296796,464184.64964321075,2.8227445000084117
DLC4.1-a-y1,20.0,0.12,10,0.014175594745973793,0.0018009586275459727,0.014443467248174772,0.0018155636556072621,1.8896738161696014,0.8109585549552767,1.7933055147230093,2116.313321423125,2077.063594532062,3.0472871999954805
DLC4.1-a-y2,20.0,0.12,10,0.013797401701641909,0.0017387710587529694,0.014065487432222586,0.001754490315306011,1.94301605749998,0.9040440645656567,1.8509634495210037,2174.322430318888,2132.880225058755,2.042317599989474
DLC4.1-a-y3,20.0,0.11,10,0.01367033415229141,0.0017141661076942897,0.013921733622029456,0.0017283142823976126,1.8390148107382265,0.8253677773593093,1.7496640845770184,2194.533042557078,2154.9040381385144,3.1552664000191726
DLC4.1-b-y1,20.0,0.19,10,0.000656776166057542,9.078585160836008e-05,0.00066825009764345,9.011201613655475e-05,1.747007912114551,-0.7422252034515076,1.5048374704716538,45677.66242201246,44893.3716669754,1.7524410000187345
DLC4.1-b-y2,20.0,0.17,10,0.0005647183730343391,7.084264858575788e-05,0.0005752529939308754,7.049801334494237e-05,1.8654645217105026,-0.4864798926854319,1.6582102906427698,53123.82495863257,52150.967168377596,2.9327147000003606
