D_pw_mm,D_we_mm,L_we_mm,alpha,Z,Zmax,cage_valid,cage_mass,mass,sum4,diff,cageR,cageW,setok
3900.0,200.0,415.0,12.0,56,61.17,1,548.0703612454216,14843.714507396204,14843.714507396204,0.0,2.0,0.487,1
3900.0,200.0,415.0,19.0,56,61.13,1,548.0703612454147,14580.566169337771,14580.566169337771,0.0,2.0,0.487,1
3900.0,200.0,415.0,24.0,56,61.11,1,548.0703612454147,14443.711747401641,14443.711747401643,-1.8189894035458565e-12,2.0,0.487,1
3900.0,200.0,415.0,30.0,56,61.09,1,548.0703612454147,14242.510411385447,14242.510411385447,0.0,2.0,0.487,1
3900.0,200.0,500.0,12.0,56,61.15,1,611.8346860743949,17663.047999666545,17663.047999666545,0.0,2.0,0.5720000000000001,1
3900.0,200.0,500.0,19.0,56,61.11,1,611.834686074374,17471.98857584128,17471.98857584128,0.0,2.0,0.5720000000000001,1
3900.0,200.0,500.0,24.0,56,61.08,1,611.8346860743949,17401.86167375623,17401.86167375623,0.0,2.0,0.5720000000000001,1
3900.0,200.0,500.0,30.0,56,61.05,1,611.8346860744089,17264.779720576258,17264.779720576254,3.637978807091713e-12,2.0,0.5720000000000001,1
4200.0,110.0,238.0,12.0,110,119.9,1,236.2992713575672,8334.095573071647,8334.095573071647,0.0,2.1275,0.3094,1
4200.0,110.0,238.0,19.0,110,119.88,1,236.2992713575881,8277.270204328497,8277.270204328497,0.0,2.1275,0.3094,1
4200.0,110.0,238.0,24.0,110,119.87,1,236.2992713575672,8189.096023417968,8189.096023417968,0.0,2.1275,0.3094,1
4200.0,110.0,238.0,30.0,110,119.86,1,236.29927135756023,8027.443427566065,8027.443427566066,-9.094947017729282e-13,2.1275,0.3094,1
4200.0,110.0,325.0,12.0,110,119.89,1,273.62060772869677,11000.869700874848,11000.869700874848,0.0,2.1275,0.397,1
4200.0,110.0,325.0,19.0,110,119.86,1,273.62060772868284,10926.858338173539,10926.858338173537,1.8189894035458565e-12,2.1275,0.397,1
4200.0,110.0,325.0,24.0,110,119.85,1,273.62060772867585,10814.90531305942,10814.90531305942,0.0,2.1275,0.397,1
4200.0,110.0,325.0,30.0,110,119.83,1,273.62060772868284,10688.921649843021,10688.921649843021,0.0,2.1275,0.397,1
4200.0,110.0,415.0,12.0,110,119.88,1,311.03480230232316,13757.890984335047,13757.890984335047,0.0,2.1275,0.487,1
4200.0,110.0,415.0,19.0,110,119.84,1,311.03480230232316,13666.662356931718,13666.662356931718,0.0,2.1275,0.487,1
4200.0,110.0,415.0,24.0,110,119.82,1,311.03480230232316,13606.17964170428,13606.179641704277,3.637978807091713e-12,2.1275,0.487,1
4200.0,110.0,415.0,30.0,110,119.8,1,311.03480230233015,13570.296930296607,13570.296930296607,0.0,2.1275,0.487,1
4200.0,140.0,238.0,12.0,86,94.19,1,305.68031463639744,8916.393978371585,8916.393978371585,0.0,2.1350000000000002,0.3094,1
4200.0,140.0,238.0,19.0,86,94.18,1,305.68031463640443,8794.739440798876,8794.739440798878,-1.8189894035458565e-12,2.1350000000000002,0.3094,1
4200.0,140.0,238.0,24.0,86,94.16,1,305.68031463639045,8671.663744059135,8671.663744059135,0.0,2.1350000000000002,0.3094,1
4200.0,140.0,238.0,30.0,86,94.15,1,305.6803146364079,8450.936703465937,8450.936703465937,0.0,2.1350000000000002,0.3094,1
4200.0,140.0,325.0,12.0,86,94.18,1,354.764351821315,11774.28058799529,11774.28058799529,0.0,2.1350000000000002,0.397,1
4200.0,140.0,325.0,19.0,86,94.16,1,354.76435182133594,11616.013654875806,11616.013654875806,0.0,2.1350000000000002,0.397,1
4200.0,140.0,325.0,24.0,86,94.14,1,354.76435182133594,11471.22493107589,11471.22493107589,0.0,2.1350000000000002,0.397,1
4200.0,140.0,325.0,30.0,86,94.12,1,354.76435182134986,11284.57033821147,11284.57033821147,0.0,2.1350000000000002,0.397,1
4200.0,140.0,415.0,12.0,86,94.17,1,404.0158406926322,14728.660279223212,14728.660279223212,0.0,2.1350000000000002,0.487,1
4200.0,140.0,415.0,19.0,86,94.13,1,404.0158406926322,14541.252167601973,14541.252167601973,0.0,2.1350000000000002,0.487,1
4200.0,140.0,415.0,24.0,86,94.11,1,404.0158406926392,14456.991169674955,14456.991169674953,1.8189894035458565e-12,2.1350000000000002,0.487,1
4200.0,140.0,415.0,30.0,86,94.09,1,404.01584069266704,14345.092855093693,14345.092855093695,-1.8189894035458565e-12,2.1350000000000002,0.487,1
4200.0,140.0,500.0,12.0,86,94.15,1,450.53113573777046,17518.39804974648,17518.39804974648,0.0,2.1350000000000002,0.5720000000000001,1
