alpha,bin,현행기하_UW_RX_pin,UW_RX_masta,현행기하_UW_RX_err,현행기하_UW_RY_pin,UW_RY_masta,현행기하_UW_RY_err,현행기하_UW_RZ_pin,UW_RZ_masta,현행기하_UW_RZ_err,현행기하_UW_Fr_pin,UW_Fr_masta,현행기하_UW_Fr_err,현행기하_DW_RX_pin,DW_RX_masta,현행기하_DW_RX_err,현행기하_DW_RY_pin,DW_RY_masta,현행기하_DW_RY_err,현행기하_DW_RZ_pin,DW_RZ_masta,현행기하_DW_RZ_err,현행기하_DW_Fr_pin,DW_Fr_masta,현행기하_DW_Fr_err,L_eff_UW_RX_pin,L_eff_UW_RX_err,L_eff_UW_RY_pin,L_eff_UW_RY_err,L_eff_UW_RZ_pin,L_eff_UW_RZ_err,L_eff_UW_Fr_pin,L_eff_UW_Fr_err,L_eff_DW_RX_pin,L_eff_DW_RX_err,L_eff_DW_RY_pin,L_eff_DW_RY_err,L_eff_DW_RZ_pin,L_eff_DW_RZ_err,L_eff_DW_Fr_pin,L_eff_DW_Fr_err
30.0,7,12223.227672646937,10436.353343909073,17.121635018047087,-8735.968223179178,-4938.704876010961,76.88783684185849,12070.740576112305,8720.942415307174,38.41096525216698,15024.128445063236,11545.920360510745,30.124996327262288,-6739.902786855342,-4953.028459004072,36.0763993714376,8888.720909989264,5091.457562325962,74.58106644668909,-8050.480349020742,-4700.6821885530035,71.26195786273514,11155.072791871004,7103.198647417266,57.04295128965604,10437.446048042057,0.01047017187878474,-4937.851983647919,-0.017269555165855266,9146.661072284733,4.881567114011998,11546.54330170742,0.0053953359907543685,-4954.121162250461,0.02206131572701775,5090.604670458005,-0.01675142839779875,-5126.4008451931695,9.056529234775024,7103.3493790708835,0.00212202503546699
30.0,8,15501.798486687167,12286.683203258219,26.167479296417074,-6412.851598225071,-3625.811745956154,76.8666452519849,12359.85402109763,9048.256338102205,36.599291170059914,16775.888111891854,12810.507209097586,30.954128810592184,-10084.03622218291,-6868.92093875535,46.806700966485984,6524.044131006578,3737.0042787380835,74.57951996805383,-8667.796551556583,-5356.198868562303,61.82738476032672,12010.45121357305,7819.672361562115,53.59276780713807,12288.825700350031,0.01743755459768792,-3624.95370186745,-0.023664882482132832,9336.482328883187,3.185431314177767,12812.319322990117,0.014145528065001578,-6871.063435845774,0.031191174123645915,3736.1462346489575,-0.022960746767342055,-5644.424859342139,5.381166716410624,7821.14450870832,0.01882619984747702
30.0,9,15494.286436696028,12285.707950869491,26.116349978834208,-7422.750641282109,-4198.659145404549,76.78859807913538,12864.273355817337,9283.46133657522,38.571949506961836,17180.516268873776,12983.34927795394,32.32730554393029,-10060.713702988343,-6852.1352167983105,46.825965697875624,7541.728943289958,4317.637447247544,74.67258507538064,-9074.220457437918,-5493.408437904246,65.18379363213276,12573.6086970907,8098.996861041614,55.24896370281598,12287.958492550337,0.018318371963954583,-4197.9089151756225,-0.01786832898184043,9636.086069867506,3.7984187202138475,12985.236354212075,0.014534587476133787,-6854.3857588426545,0.03284439044382026,4316.887217183471,-0.01737593934736381,-5846.033171488088,6.4190518067207325,8100.501180600311,0.018574146706162864
30.0,10,12008.560775913118,10315.980912456542,16.407357456553505,-8612.198415862289,-4874.303903115858,76.6857091195527,12051.648278574026,8762.825894911048,37.531527193447275,14777.533402533049,11409.570575884887,29.518751860535765,-6517.944064828748,-4825.364201372196,35.076727741612345,8736.39749212193,4998.5029793754375,74.78027977915784,-7866.339019458647,-4577.516635795777,71.84730598125124,10899.919081011138,6947.601867602192,56.88750289274993,10316.871866401201,0.008636638165770982,-4873.580199488971,-0.014847322638711358,9199.37990421236,4.981886146509407,11410.067005438292,0.004350992441848334,-4826.255155316831,0.018463973027826874,4997.779275748612,-0.014478407431417484,-5014.070645096979,9.536918028596308,6947.7000880381,0.0014137314972906267
30.0,11,8803.43273558248,8494.550578639262,3.6362389520635308,-6031.652844349778,-3418.197330961831,76.45712813930959,8667.802980292361,6720.748260304502,28.97080272278554,10671.516479145688,9156.498376915446,16.545823958750148,-3305.482980587518,-2996.600823644359,10.307751186142555,6104.714349059648,3491.258835671688,74.85711132858913,-5010.0812440689115,-3063.026524081182,63.56636825310511,6942.172211820195,4600.92433690467,50.886467663378895,8494.732728087794,0.0021443094234019355,-3416.268653575342,-0.05642381640812433,6977.182437067306,3.8155599172998267,9155.947555280522,-0.006015636242695521,-2996.7829730928315,0.006078535620601677,3489.3301582852114,-0.05524303631603278,-3319.4607008438543,8.371921520973302,4599.5796700718,-0.02922601491365251
30.0,12,9507.567666815617,8897.463250155244,6.85706025984123,-8189.30930800057,-4649.879714247059,76.11873448917032,9830.552313438719,7153.923982143081,37.4148276942385,12548.25206477709,10039.234714101938,24.992117647680658,-3995.0785328326106,-3384.9741161789443,18.02390197719945,8246.410916434043,4706.981322683725,75.19531842400178,-6612.958612254178,-3936.3302809640113,67.99806266852835,9163.18424381953,5797.734293609431,58.04767482910827,8898.519077690273,0.01186661304850567,-4647.41558033542,-0.05299349796273889,7400.749455161846,3.4502110119546403,10039.02950251478,-0.00204409591967325,-3386.0299437072654,0.031191598283575317,4704.517188768891,-0.05235062019383063,-4183.155753977303,6.2704462124769655,5796.350641490229,-0.0238653937750799
30.0,13,7484.543174414339,7743.220134595226,-3.3406897348193576,-6457.769367055037,-3671.3672488726706,75.89548877296212,7856.5660640396845,5971.4431423795595,31.568967110836855,9885.401950742655,8569.50380879172,15.355593174495286,-1987.8778065869874,-2246.554766767877,-11.514384781860842,6486.761466140134,3700.3593479578317,75.30085205697854,-4896.306669983168,-3011.1837483231293,62.60404808274578,6784.5215374793825,4328.9337745115,56.72500183362088,7744.007143794439,0.010163848961175503,-3668.226107642485,-0.08555780496081189,6184.049097439836,3.5603781195102435,8568.869786613006,-0.00739858681272354,-2247.341775967086,0.03503182788378023,3697.218206727582,-0.0848874645643094,-3223.7897033833196,7.06054405276948,4326.657777796254,-0.05257638101667794
30.0,14,8411.032404954276,8264.87593461914,1.7684048918741535,-1808.3158243048076,-1037.7917273577616,74.2465059833167,6208.842494681395,5605.7110421828775,10.759231932576686,8603.2245255847,8329.77706088337,3.282770507573818,-2944.271399845816,-2798.114929510822,5.223390533159611,1773.138243898999,1002.6141469520337,76.85150855784084,-3186.2207773058403,-2583.0893248075013,23.349229417116124,3436.968621900303,2972.319344622934,15.632548976204097,8264.735581836418,-0.0016981837819729506,-1036.5133400283225,-0.12318341876685901,6011.2834069620685,7.2349852093207545,8329.478623643236,-0.0035827758408601973,-2797.9745767279574,-0.005015976341227191,1001.335759622514,-0.12750541505982538,-2988.6616895865145,15.701058452914229,2971.75622074133,-0.018945604974207608
30.0,15,11490.455721850649,10012.922821395994,14.756259753619672,-754.0244677010617,-436.3509961745154,72.8022794290803,8398.26143664702,7121.331118802033,17.9310622767362,11515.169368867406,10022.426134379599,14.894030791280155,-6041.596170810224,-4564.06327035546,32.373190574540175,721.2395552324502,403.566083705899,78.71659298259006,-4391.105521580709,-3114.175203735736,41.003804677179986,6084.494291819219,4581.870700895595,32.794980238746454,10013.071181795554,0.0014816892350832944,-436.1054280650598,-0.056277655284042716,7313.9273176064025,2.704497173230269,10022.563665853784,0.0013722373439328805,-4564.2116307551305,0.0032506210120519796,403.32051559644856,-0.06084954097118622,-3306.7714025400924,6.184501070245485,4581.9968625721895,0.002753497093865853
30.0,16,11084.98242899471,9779.985014757984,13.343552288346938,-2171.7239661535573,-1242.9685257211556,74.72075287614777,8425.961758280202,7098.038555339655,18.708312058147204,11295.716906699068,9858.654961242133,14.576653215946145,-5646.575269644171,-4341.577855407352,30.058136873244568,2141.0820203803537,1212.3265799479307,76.60934403272034,-4358.184619062135,-3030.261416121633,43.822067491460295,6038.877751184666,4507.663919483322,33.96912145741455,9780.104193873169,0.0012186022269489172,-1242.3153206089933,-0.05255202353441346,7320.859452167952,3.139189722499802,9858.690856236206,0.0003640962607409648,-4341.69703452263,0.0027450645651683203,1211.6733748357897,-0.05388029289674634,-3253.082312949884,7.353190574344404,4507.603077786303,-0.0013497389802386017
