model,DLC,brg,nbin,k,ScaleFactor,rev_total,rpm_tw,dur_total,nbin_all,kappa_w,kappa_m,lambda_in_w,lambda_in_m,lambda_out_w,lambda_out_m,hmin_in_um_w,hmin_in_um_m,hmin_out_um_w,hmin_out_um_m,nu_mm2s_w,nu_mm2s_m,nu1_mm2s_w,nu1_mm2s_m,a_iso_w,a_iso_m,cap_pct,lam_min,lam_max,regime_w,D30_UW,D30_DW,dmg_pct
기준선,DLC1.2-f-s4,UW,30,0.33,18970.0,1171649.9907,6.1753,11383895.3,30,1.71383,1.71224,2.81707,2.81464,2.89412,2.89163,0.85075,0.85002,0.87403,0.87327,294.63725,294.63725,172.04879,172.20778,1.22913,1.22778,0.0,2.5485,3.0156,혼합 (1≤λ<3),0.079697,0.01897,1.151
기준선,DLC1.2-f-s5,DW,30,0.32,18970.0,1172313.5613,6.1788,11383901.7,30,1.7143,1.71309,2.94778,2.94524,3.02841,3.02581,0.89023,0.88946,0.91458,0.91379,294.63725,294.63725,171.97103,172.09413,2.25454,2.24884,0.0,2.5354,3.3198,혼합 (1≤λ<3),0.081698,0.019966,1.18
기준선,DLC1.2-f-s5,UW,30,0.32,18970.0,1172313.5613,6.1788,11383901.7,30,1.7143,1.71309,2.82555,2.82345,2.90284,2.90069,0.85332,0.85268,0.87666,0.87601,294.63725,294.63725,171.97103,172.09413,1.26169,1.25961,0.0,2.5359,3.1262,혼합 (1≤λ<3),0.081698,0.019966,1.18
기준선,DLC1.2-f-s6,DW,30,0.36,18970.0,1172662.799,6.1806,11383895.8,30,1.71502,1.71349,2.90503,2.90255,2.98449,2.98195,0.87732,0.87657,0.90132,0.90055,294.63725,294.63725,171.92546,172.08355,1.86327,1.86014,0.0,2.626,3.2102,혼합 (1≤λ<3),0.079674,0.019001,1.151
기준선,DLC1.2-f-s6,UW,30,0.36,18970.0,1172662.799,6.1806,11383895.8,30,1.71502,1.71349,2.81011,2.80789,2.88698,2.88469,0.84865,0.84798,0.87187,0.87118,294.63725,294.63725,171.92546,172.08355,1.19815,1.19701,0.0,2.5749,3.043,혼합 (1≤λ<3),0.079674,0.019001,1.151
기준선,DLC1.2-g-s1,DW,30,0.4,11340.0,701251.3116,6.1828,6805133.8,30,1.71539,1.714,2.94486,2.94275,3.02542,3.02324,0.88935,0.88871,0.91368,0.91302,294.63725,294.63725,171.87615,172.01546,2.14604,2.14655,0.0,2.6795,3.2368,혼합 (1≤λ<3),0.037175,0.008938,0.537
기준선,DLC1.2-g-s1,UW,30,0.4,11340.0,701251.3116,6.1828,6805133.8,30,1.71539,1.714,2.83445,2.83229,2.91198,2.90976,0.856,0.85535,0.87942,0.87875,294.63725,294.63725,171.87615,172.01546,1.29284,1.29135,0.0,2.6895,3.107,혼합 (1≤λ<3),0.037175,0.008938,0.537
기준선,DLC1.2-g-s2,DW,30,0.4,11340.0,701305.9704,6.1833,6805136.5,30,1.71522,1.71415,2.95415,2.95213,3.03496,3.03288,0.89215,0.89154,0.91656,0.91593,294.63725,294.63725,171.86769,171.97573,2.24754,2.24369,0.0,2.7218,3.2317,혼합 (1≤λ<3),0.041648,0.011113,0.601
기준선,DLC1.2-g-s2,UW,30,0.4,11340.0,701305.9704,6.1833,6805136.5,30,1.71522,1.71415,2.83889,2.83744,2.91654,2.91506,0.85734,0.85691,0.8808,0.88035,294.63725,294.63725,171.86769,171.97573,1.31659,1.31606,0.0,2.635,3.0385,혼합 (1≤λ<3),0.041648,0.011113,0.601
기준선,DLC1.2-g-s3,DW,30,0.42,11340.0,700911.1116,6.1798,6805132.4,30,1.71472,1.71331,2.99908,2.99676,3.08112,3.07874,0.90572,0.90502,0.9305,0.92978,294.63725,294.63725,171.94514,172.08777,2.60959,2.60451,0.0,2.6841,3.292,혼합 (1≤λ<3),0.03562,0.007745,0.514
