design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_DW,eps_Sys
b32,DLC1.2-c-s5,0.19,center,30,45040.0,1.7861,-11.1959,1.4275
b32,DLC1.2-c-s6,0.2,center,30,45040.0,1.7029,-9.9215,1.3557
b32,DLC1.2-d-s1,0.22,center,30,38180.0,1.7445,-12.7558,1.2108
b32,DLC1.2-d-s2,0.21,center,30,38180.0,1.8178,-12.2151,1.4303
b32,DLC1.2-d-s3,0.21,center,30,38180.0,1.7925,-10.6175,1.4181
b32,DLC1.2-d-s4,0.21,center,30,38180.0,1.8898,-14.7144,1.3889
b32,DLC1.2-d-s5,0.22,center,30,38180.0,1.7712,-12.6571,1.2254
b32,DLC1.2-d-s6,0.22,center,30,38180.0,1.7656,-12.6104,1.302
b32,DLC1.2-e-s1,0.25,center,30,28490.0,1.9144,-18.7107,1.1634
b32,DLC1.2-e-s2,0.28,center,30,28490.0,2.5104,-16.6996,1.7917
b32,DLC1.2-e-s3,0.24,center,30,28490.0,1.8683,-16.8861,1.3378
b32,DLC1.2-e-s4,0.26,center,30,28490.0,2.0597,-21.9935,1.247
b32,DLC1.2-e-s5,0.23,center,30,28490.0,1.9729,-11.3603,1.4733
b32,DLC1.2-e-s6,0.25,center,30,28490.0,1.8154,-17.885,1.1703
b32,DLC1.2-f-s1,0.31,center,30,18970.0,2.2114,-23.9684,1.3909
b32,DLC1.2-f-s2,0.3,center,30,18970.0,2.3088,-23.661,1.6493
b32,DLC1.2-f-s3,0.33,center,30,18970.0,2.3735,-17.5033,1.5316
b32,DLC1.2-f-s4,0.31,center,30,18970.0,2.0519,-19.3755,1.2557
b32,DLC1.2-f-s5,0.3,center,30,18970.0,2.2204,-16.7235,1.5033
b32,DLC1.2-f-s6,0.34,center,30,18970.0,2.8782,-26.3196,1.8408
b32,DLC1.2-g-s1,0.34,center,30,11340.0,2.4479,-27.9642,1.4184
b32,DLC1.2-g-s2,0.33,center,30,11340.0,2.0313,-23.0558,1.0594
