n,life_UW_ref,life_Sys_ref,life_UW_scr,life_Sys_scr,bias_Sys_life_pct,vs_final_scr_Sys_pct
75,4.450587171596247,3.933006791659285,4.342849858668183,3.879457080821459,1.3803403342842913,0.14528179379011963
76,4.44992930858391,3.932416521226515,4.342192465705073,3.8788706061340714,1.380451181015574,0.13014238855642013
77,4.449411975764599,3.9319643992915587,4.341679568114688,3.8784185651021574,1.380609990659698,0.1184732875507244
78,4.44890701314148,3.9313037578310754,4.341226773292282,3.877765032750276,1.380659339300605,0.10160283888300814
79,4.448433068675055,3.9308899727724294,4.340757474337544,3.877351642782631,1.3807963507631582,0.09093148618133373
80,4.44799506615483,3.9305102659766242,4.3403262424711855,3.876973013841423,1.3809033992257413,0.08115746336767593
81,4.447561971888214,3.9301400083095603,4.339906656905358,3.8766072777936613,1.3809170411083427,0.07171626095139327
82,4.447134321000428,3.9297696394780335,4.3394866498514135,3.876238935860254,1.38099597325001,0.062207789547019665
83,4.446717267333502,3.929386767912598,4.339067330799091,3.8758563592036586,1.381124679242185,0.05233185941444507
84,4.44634508706428,3.929071546271183,4.3387063415410445,3.875544494270011,1.3811492057519192,0.0442812995007591
85,4.445983825436517,3.9287665413582085,4.338355041576643,3.875241830906754,1.381196652672645,0.03646827124175189
86,4.445634206109957,3.928461544126178,4.338012271837751,3.874938235677226,1.3812686859406842,0.028631187552230486
87,4.445381016957675,3.9282408034450715,4.337761278023216,3.87471723011178,1.3813543067695777,0.022926094244457573
88,4.445311367386323,3.92817352746778,4.3376964550685635,3.8746555023408575,1.3812331211017215,0.021332638025017836
89,4.445251404930276,3.9281164236854345,4.3376379427226865,3.874600164807069,1.3812072627377825,0.019904140995774533
90,4.4451964952052085,3.928066419875467,4.337584508986362,3.874551016429789,1.3812027050037479,0.018635412410850094
91,4.445142163246044,3.928017641355576,4.33753225476047,3.874503577246933,1.3811850483996135,0.01741080540109685
92,4.445091101339559,3.927971115606508,4.33748186826599,3.8744575339715337,1.3811890094487467,0.016222232697882255
93,4.445040983947317,3.927926041492889,4.3374348078607206,3.874415176771213,1.3811339848784465,0.015128813264775332
94,4.444991543496916,3.9278808110873618,4.337387391497855,3.874371631255005,1.38110601989474,0.014004718346161127
95,4.444942125120943,3.9278354779069193,4.337337829772047,3.874326177606202,1.3811253324514494,0.012831366412346945
96,4.444893974305192,3.927791861937458,4.337294176311293,3.874286336998811,1.3810420883886954,0.01180291094271535
97,4.444852922967128,3.9277544741077417,4.3372536494541265,3.8742493548206722,1.3810448008591436,0.01084824368542403
98,4.4448120864412495,3.9277178431575295,4.3372132244803465,3.8742127297879336,1.3810577038841254,0.00990279586943199
99,4.444772011354201,3.9276819070947937,4.337173595113989,3.8741768860220414,1.381068099027627,0.008977515872499175
100,4.444731981950475,3.9276459438258793,4.337134963969357,3.874142233874234,1.3810466090745432,0.008082996604819037
101,4.444692202259293,3.92760985322961,4.33709605567971,3.874106742766034,1.3810437867640246,0.007166820202342272
102,4.444655094523165,3.9275766110022223,4.337060187743556,3.874074171168934,1.381038087279185,0.006326008794443894
103,4.444618958972393,3.92754484747533,4.337024682282353,3.8740427539336313,1.3810403482866551,0.005514996372579795
104,4.444585259324005,3.927513243187154,4.336992697823553,3.8740121701424917,1.3810249089303728,0.004725498688196161
105,4.444554153761522,3.927481346704,4.336960661712223,3.8739789275436194,1.3810715071262747,0.003867365871612627
106,4.444523912919687,3.9274549726574737,4.33693082061081,3.8739526548294427,1.3810782576635816,0.003189155413307887
107,4.444494304731226,3.927424568163152,4.336901144371884,3.873921913984548,1.3810978994043044,0.0023956035037464574
108,4.444465764794413,3.927399159498131,4.33687222483372,3.8738963318203847,1.38111149847433,0.0017352190773589626
109,4.444441744787911,3.9273769409904333,4.3368476961807785,3.8738740452730807,1.3811212004333884,0.0011599085342872684
110,4.444420641301582,3.9273547150696078,4.336825800678996,3.8738514513602973,1.3811387550888954,0.0005766635813531096
111,4.444399883530797,3.927332728696099,4.3368046136760094,3.873829112398602,1.3811558214133157,0.0
