DLC,scale_factor,hours_30y,n_bins,rev_30y_total,file
DLC6.4-a-s1,24340.0,4055.831,30,7073.204,DLC6.4-a-s1_30y.csv
DLC6.4-a-s2,24340.0,4055.831,30,10992.431,DLC6.4-a-s2_30y.csv
DLC6.4-a-s3,24340.0,4055.831,30,11907.615,DLC6.4-a-s3_30y.csv
DLC6.4-a-s4,24340.0,4055.831,30,7556.353,DLC6.4-a-s4_30y.csv
DLC6.4-a-s5,24340.0,4055.831,30,7737.443,DLC6.4-a-s5_30y.csv
DLC6.4-a-s6,24340.0,4055.831,30,7578.989,DLC6.4-a-s6_30y.csv
DLC6.4-b-s1,292.4,48.722,30,837.22,DLC6.4-b-s1_30y.csv
DLC6.4-b-s2,292.4,48.722,30,864.7,DLC6.4-b-s2_30y.csv
DLC6.4-b-s3,292.4,48.722,30,817.454,DLC6.4-b-s3_30y.csv
DLC6.4-b-s4,292.4,48.722,30,837.565,DLC6.4-b-s4_30y.csv
DLC6.4-b-s5,292.4,48.722,30,842.477,DLC6.4-b-s5_30y.csv
DLC6.4-b-s6,292.4,48.722,30,807.305,DLC6.4-b-s6_30y.csv
